label	BEFORE_origin_main
classifier_stamp	rule1-first-error-plus-residual-histogram-v3
gunbc_sha	bc2976c7967e64239a0cb198d17907ad3487cf834560749c0255a08dabef8208
git_sha	bb4347da26fb42f7deb1b134e6ca8ddc4c6885b9
module	emit	cargo	first_error	mapped_gate	verdict	residual_histogram
src/v2/compiler/06_translate.dag	59 files emitted, 27 diagnostics	refuse	error: expected one of `,` or `>`, found `.`	UNKNOWN	refuse	error[E0308]:278 error[E0599]:107 error[E0277]:86 error[E0063]:18 error[E0369]:14 error[E0597]:13 error[E0107]:12 error[E0282]:9 error[E0609]:8 error[E0614]:4 error[E0392]:2 error[E0747]:1 error[E0560]:1 error[E0061]:1 error[E0004]:1 uncoded:22
src/v2/compiler/04_infer.dag	51 files emitted, 19 diagnostics	refuse	error: expected one of `,` or `>`, found `.`	UNKNOWN	refuse	error[E0308]:254 error[E0599]:102 error[E0277]:85 error[E0063]:18 error[E0369]:14 error[E0107]:12 error[E0282]:9 error[E0609]:8 error[E0597]:5 error[E0614]:4 error[E0392]:2 error[E0747]:1 error[E0560]:1 error[E0061]:1 error[E0004]:1 uncoded:19
src/v2/compiler/05_eval.dag	58 files emitted, 26 diagnostics	refuse	error: expected one of `,` or `>`, found `.`	UNKNOWN	refuse	error[E0308]:320 error[E0599]:105 error[E0277]:91 error[E0369]:29 error[E0614]:23 error[E0063]:20 error[E0107]:17 error[E0282]:9 error[E0609]:8 error[E0597]:8 error[E0560]:2 error[E0392]:2 error[E0310]:2 error[E0271]:2 error[E0747]:1 error[E0061]:1 error[E0004]:1 uncoded:21
src/v2/compiler/05_emit.dag	60 files emitted, 27 diagnostics	refuse	error: expected one of `,` or `>`, found `.`	UNKNOWN	refuse	error[E0308]:278 error[E0599]:107 error[E0277]:86 error[E0063]:18 error[E0369]:14 error[E0597]:13 error[E0107]:12 error[E0282]:9 error[E0609]:8 error[E0614]:4 error[E0392]:2 error[E0747]:1 error[E0560]:1 error[E0061]:1 error[E0004]:1 uncoded:22
src/v2/compiler/emit_host.dag	87 files emitted, 81 diagnostics	refuse	error: expected one of `,` or `>`, found `.`	UNKNOWN	refuse	error[E0308]:408 error[E0277]:139 error[E0599]:112 error[E0369]:79 error[E0107]:30 error[E0614]:23 error[E0063]:20 error[E0597]:16 error[E0282]:9 error[E0609]:8 error[E0560]:2 error[E0425]:2 error[E0392]:2 error[E0310]:2 error[E0271]:2 error[E0747]:1 error[E0061]:1 error[E0004]:1 uncoded:25
src/v2/compiler/emit_module.dag	61 files emitted, 27 diagnostics	refuse	error: expected one of `,` or `>`, found `.`	UNKNOWN	refuse	error[E0308]:286 error[E0599]:107 error[E0277]:86 error[E0063]:18 error[E0369]:14 error[E0597]:13 error[E0107]:12 error[E0282]:9 error[E0609]:8 error[E0614]:4 error[E0392]:2 error[E0747]:1 error[E0560]:1 error[E0061]:1 error[E0004]:1 uncoded:22
src/v2/compiler/materialization_carriers.dag	41 files emitted, 50 diagnostics	refuse	error[E0107]: missing generics for struct `Measure`	UNKNOWN	refuse	error[E0277]:100 error[E0308]:87 error[E0599]:82 error[E0369]:60 error[E0107]:13 error[E0061]:2 error[E0282]:1 uncoded:1
