label	BEFORE_pr7269_applied_type_leaf
classifier_stamp	rule1-first-error-plus-residual-histogram-v3
gunbc_sha	09aa03dea70b1f2d50d5131e82cfc831abcb611e735d0c607c7d8d0389fee0bc
git_sha	6a8ebe53f40a986dea19eee188385b57d2438c50
module	emit	cargo	first_error	mapped_gate	verdict	residual_histogram
src/v2/compiler/06_translate.dag	60 files emitted, 27 diagnostics	refuse	error: UNRESOLVED_CompilerError	UNKNOWN_unresolved	UNKNOWN-error:_UNRESOLVED_CompilerError	error[E0308]:114 error[E0599]:93 error[E0277]:76 error[E0063]:18 error[E0369]:14 error[E0597]:13 error[E0107]:13 error[E0282]:9 error[E0609]:6 error[E0614]:3 error[E0392]:2 error[E0560]:1 error[E0061]:1 error[E0004]:1 uncoded:22	0
src/v2/compiler/04_infer.dag	52 files emitted, 19 diagnostics	refuse	error: UNRESOLVED_CompilerError	UNKNOWN_unresolved	UNKNOWN-error:_UNRESOLVED_CompilerError	error[E0308]:91 error[E0599]:88 error[E0277]:75 error[E0063]:18 error[E0369]:14 error[E0107]:13 error[E0282]:9 error[E0609]:6 error[E0597]:5 error[E0614]:3 error[E0392]:2 error[E0560]:1 error[E0061]:1 error[E0004]:1 uncoded:19	0
src/v2/compiler/05_eval.dag	59 files emitted, 26 diagnostics	refuse	error: UNRESOLVED_CompilerError	UNKNOWN_unresolved	UNKNOWN-error:_UNRESOLVED_CompilerError	error[E0308]:117 error[E0599]:91 error[E0277]:81 error[E0369]:29 error[E0614]:22 error[E0063]:20 error[E0107]:18 error[E0282]:9 error[E0597]:8 error[E0609]:6 error[E0560]:2 error[E0392]:2 error[E0310]:2 error[E0271]:1 error[E0061]:1 error[E0004]:1 uncoded:21	0
src/v2/compiler/05_emit.dag	61 files emitted, 27 diagnostics	refuse	error: UNRESOLVED_CompilerError	UNKNOWN_unresolved	UNKNOWN-error:_UNRESOLVED_CompilerError	error[E0308]:114 error[E0599]:93 error[E0277]:76 error[E0063]:18 error[E0369]:14 error[E0597]:13 error[E0107]:13 error[E0282]:9 error[E0609]:6 error[E0614]:3 error[E0392]:2 error[E0560]:1 error[E0061]:1 error[E0004]:1 uncoded:22	0
src/v2/compiler/emit_host.dag	88 files emitted, 81 diagnostics	refuse	error: UNRESOLVED_CompilerError	UNKNOWN_unresolved	UNKNOWN-error:_UNRESOLVED_CompilerError	error[E0308]:202 error[E0277]:129 error[E0599]:96 error[E0369]:79 error[E0107]:31 error[E0614]:22 error[E0063]:20 error[E0597]:16 error[E0282]:9 error[E0609]:6 error[E0560]:2 error[E0425]:2 error[E0392]:2 error[E0310]:2 error[E0271]:1 error[E0061]:1 error[E0004]:1 uncoded:25	0
src/v2/compiler/emit_module.dag	emit_fail	emit_fail	indexed 2549 modules from 2 source roots resolved 58 sources (transitive import closure) [census] 2491 indexed modules outside the closure enter the name census only (not compiled) 		EMIT_REFUSE		unmeasured
src/v2/compiler/materialization_carriers.dag	41 files emitted, 50 diagnostics	refuse	error[E0107]: missing generics for struct `Measure`	UNKNOWN	UNKNOWN-error[E0107]:_missing_generics_for_struct_`Measure`	error[E0277]:90 error[E0599]:81 error[E0308]:77 error[E0369]:60 error[E0107]:13 error[E0061]:2 error[E0282]:1 uncoded:1	0
