run_id	branch	class	ci_job_min	preamble_min	compile_clean_min	compile_scope	wall_cheap_gates_min	wall_compile_gate_min	wall_discovery_min	wall_wet_min	wall_emit_host_min	wall_source_root_ingest_min	wall_reads_real_bytes_min	witnesses	entry_groups	resolve_serial_s	eval_serial_s	resolves_total	max_width	peak_current_gib	worker_share_gib	unkeyed_calls	duplicated_keys	wasted_ms	fe_begin_count_disc
29763408563	main	PRE-6848	17.9		0.8	whole-tree or scoped		0.8	3.4	0.9	5.7			2087		99.3	14.9	3	1		unreadable			4
29819122813	main	POST-6848	42.1		0.7	whole-tree		0.7	8.4	1.2	18.5			2128		402.7	14.9		1		unreadable			4
29976989996	session/gentle-raven-495	deep-diff green	54.9	1.89	3.58	whole-tree baseline (no shard intersection)	10.15	0.45	12.80	1.30	0.12	12.15	3.30	2206	663	643.5	18.4	4	1	10.1	3.36	2193388	71948	23407	4
29970583893	main	trivial-diff green	47.7	1.89	0	skipped (no touched paths)		0.8	12.17	1.30	7.10	10.90	2.90	2204	663	619.7	15.1	3	0	unreadable		2413946	71948	23407	4
29967907137	main	trivial-diff green	49.2		0	skipped		0.8	12.25	1.30	7.60	11.10	2.90	2204	663	623.8	15.2	3	0	unreadable			
29880571548	main	POST-7030	51.0		0.9	whole-tree partial		0.9	10.10	1.40	10.00	11.20	3.20	2137		478.0	15.6	4	1		unreadable			
