index,x_mm,y_mm,pad_dia_mm
169,17.2494,35.9925,0.46
170,18.2808,35.9925,0.46
171,19.2766,35.9925,0.46
172,20.2369,35.9925,0.46
173,21.2683,35.9925,0.46
174,22.2641,35.9925,0.46
175,23.2599,35.9925,0.46
176,24.2558,35.9925,0.46
177,25.2516,35.9925,0.46
178,26.2830,35.9925,0.46
179,27.2789,35.9925,0.46
180,28.2747,35.9925,0.46
181,29.2705,35.9925,0.46
182,30.2664,35.9925,0.46
183,-31.2267,35.1389,0.46
184,-30.2308,35.1389,0.46
185,-29.2350,35.1389,0.46
186,-28.2391,35.1389,0.46
187,-27.2433,35.1389,0.46
188,-26.2119,35.1389,0.46
189,-25.2516,35.1389,0.46
190,-24.2558,35.1389,0.46
191,-23.2244,35.1389,0.46
192,-22.2285,35.1389,0.46
193,-21.2327,35.1389,0.46
194,-20.2369,35.1389,0.46
195,-19.2410,35.1389,0.46
196,-18.2452,35.1389,0.46
197,-17.2138,35.1389,0.46
198,-16.2535,35.1389,0.46
199,-15.2221,35.1389,0.46
200,-14.2263,35.1389,0.46
201,-13.2304,35.1389,0.46
202,-12.2346,35.1389,0.46
203,-11.2388,35.1389,0.46
204,-10.2073,35.1389,0.46
205,-9.2471,35.1389,0.46
206,-8.2512,35.1389,0.46
207,-7.2198,35.1389,0.46
208,-6.2240,35.1389,0.46
209,-5.2282,35.1389,0.46
210,-4.2323,35.1389,0.46
211,-3.2365,35.1389,0.46
212,-2.2406,35.1389,0.46
213,-1.2448,35.1389,0.46
214,0.7824,35.1389,0.46
215,1.7783,35.1389,0.46
216,2.7386,35.1389,0.46
217,3.7700,35.1389,0.46
218,4.7658,35.1389,0.46
219,5.7616,35.1389,0.46
220,6.7575,35.1389,0.46
221,7.7533,35.1389,0.46
222,8.7847,35.1389,0.46
223,9.7450,35.1389,0.46
224,10.7764,35.1389,0.46
225,11.7722,35.1389,0.46
226,12.7681,35.1389,0.46
227,13.7639,35.1389,0.46
228,14.7598,35.1389,0.46
229,15.7556,35.1389,0.46
230,16.7514,35.1389,0.46
231,17.7828,35.1389,0.46
232,18.7431,35.1389,0.46
233,19.7745,35.1389,0.46
234,20.7704,35.1389,0.46
235,21.7662,35.1389,0.46
236,22.7620,35.1389,0.46
237,23.7579,35.1389,0.46
238,24.7893,35.1389,0.46
239,25.7495,35.1389,0.46
240,26.7810,35.1389,0.46
241,27.7768,35.1389,0.46
242,28.7726,35.1389,0.46
243,29.7685,35.1389,0.46
244,30.7643,35.1389,0.46
245,-31.7246,34.2497,0.46
246,-30.7643,34.2497,0.46
247,-29.7329,34.2497,0.46
248,-28.7371,34.2497,0.46
249,-27.7412,34.2497,0.46
250,-26.7454,34.2497,0.46
251,-25.7495,34.2497,0.46
252,-24.7181,34.2497,0.46
253,-23.7579,34.2497,0.46
254,-22.7265,34.2497,0.46
255,-21.7306,34.2497,0.46
256,-20.7348,34.2497,0.46
257,-19.7389,34.2497,0.46
258,-18.7431,34.2497,0.46
259,-17.7473,34.2497,0.46
260,-16.7159,34.2497,0.46
261,-15.7200,34.2497,0.46
262,-14.7598,34.2497,0.46
263,-13.7283,34.2497,0.46
264,-12.7325,34.2497,0.46
265,-11.7367,34.2497,0.46
266,-10.7408,34.2497,0.46
267,-9.7450,34.2497,0.46
268,-8.7136,34.2497,0.46
269,-7.7533,34.2497,0.46
270,-6.7219,34.2497,0.46
271,-5.7261,34.2497,0.46
272,-4.7302,34.2497,0.46
273,-3.7344,34.2497,0.46
274,-2.7386,34.2497,0.46
275,-1.7427,34.2497,0.46
276,-0.7469,34.2497,0.46
277,0.2845,34.2497,0.46
278,1.2448,34.2497,0.46
279,2.2762,34.2497,0.46
280,3.2720,34.2497,0.46
281,4.2679,34.2497,0.46
282,5.2637,34.2497,0.46
283,6.2596,34.2497,0.46
284,7.2910,34.2497,0.46
285,8.2512,34.2497,0.46
286,9.2471,34.2497,0.46
287,10.2785,34.2497,0.46
288,11.2743,34.2497,0.46
289,12.2702,34.2497,0.46
290,13.2660,34.2497,0.46
291,14.2618,34.2497,0.46
292,15.2577,34.2497,0.46
293,16.2535,34.2497,0.46
294,17.2494,34.2497,0.46
295,18.2808,34.2497,0.46
296,19.2766,34.2497,0.46
297,20.2369,34.2497,0.46
298,21.2683,34.2497,0.46
299,22.2641,34.2497,0.46
300,23.2599,34.2497,0.46
301,24.2558,34.2497,0.46
302,25.2516,34.2497,0.46
303,26.2830,34.2497,0.46
304,27.2789,34.2497,0.46
305,28.2747,34.2497,0.46
306,29.2705,34.2497,0.46
307,30.2664,34.2497,0.46
308,31.2622,34.2497,0.46
309,-31.2267,33.3962,0.46
310,-30.2308,33.3962,0.46
