file	line	col	expected	found
src/v2_lens_complexity_accumulator_copy_analyze.rs	485	80	Vector<PortReading>	Vector<Rc<PortReading>>
src/v2_lens_complexity_accumulator_copy_analyze.rs	696	15	Rc<Vector<Finding>>	Rc<Vector<Rc<Finding>>>
src/v2_lens_complexity_lowering.rs	48	13	Vector<()>	Vector<Rc<ComplexityLowering>>
src/v2_lens_complexity_lowering.rs	60	104	Rc<ComplexityLowering>	()
src/v2_lens_complexity_lowering.rs	68	107	Rc<ComplexityLowering>	()
src/v2_lens_cost.rs	312	123	Rc<Nat>	Nat
src/v2_lens_cost.rs	315	123	Rc<Nat>	Nat
src/v2_lens_coverage.rs	107	21	Coverage<Rc<...>>	CoverageDefectAcceptanceKey
src/v2_lens_coverage.rs	118	21	Coverage<Rc<...>>	CoverageDefectAcceptanceKey
src/v2_lens_coverage.rs	129	21	Coverage<Rc<...>>	CoverageDefectAcceptanceKey
src/v2_lens_coverage.rs	140	21	Coverage<Rc<...>>	CoverageDefectAcceptanceKey
src/v2_lens_coverage.rs	151	21	Coverage<Rc<...>>	CoverageDefectAcceptanceKey
src/v2_lens_coverage.rs	162	21	Coverage<Rc<...>>	CoverageDefectAcceptanceKey
src/v2_lens_coverage.rs	173	21	Coverage<Rc<...>>	CoverageDefectAcceptanceKey
src/v2_lens_coverage.rs	184	21	Coverage<Rc<...>>	CoverageDefectAcceptanceKey
src/v2_lens_coverage.rs	214	181	()	Rc<Coverage<C>>
src/v2_lens_coverage.rs	52	21	Coverage<Rc<...>>	CoverageDefectAcceptanceKey
src/v2_lens_coverage.rs	63	21	Coverage<Rc<...>>	CoverageDefectAcceptanceKey
src/v2_lens_coverage.rs	74	21	Coverage<Rc<...>>	CoverageDefectAcceptanceKey
src/v2_lens_coverage.rs	85	21	Coverage<Rc<...>>	CoverageDefectAcceptanceKey
src/v2_lens_coverage.rs	96	21	Coverage<Rc<...>>	CoverageDefectAcceptanceKey
src/v2_lens_determinism.rs	135	42	Rc<Edge>	Rc<std_determinism::Determinism>
src/v2_lens_determinism.rs	135	42	Rc<std_determinism::Determinism>	Rc<Edge>
src/v2_lens_determinism.rs	161	64	Witness<Rc<DeterminismFact>>	Witness<DeterminismFact>
src/v2_lens_enforcement_standing_intent.rs	215	32	Vector<NarrowingReason>	Vector<Rc<NarrowingReason>>
