file	line	col	expected	found	delta	root	reason	carrier_flags	callee	callee_kind	block_msg
src/std_checked_arithmetic.rs	305	12	Rc<i64>	i64	rc_depth	R1	rc_wrap_only				mismatched types
src/v2_std_algebra.rs	152	63	T	&T	generic_arg+borrowed	A-clone	generic_param_clone_bound_absent				mismatched types
src/v2_std_algebra.rs	152	63	_	&_	generic_arg+borrowed	A-clone	generic_param_clone_bound_absent				mismatched types
src/v2_std_logic.rs	53	5	Bool	True	nominal	B2	bool_carrier_vs_native_or_variant				mismatched types
src/v2_std_logic.rs	54	5	Bool	False	nominal	B2	bool_carrier_vs_native_or_variant				mismatched types
src/v2_std_logic.rs	57	5	Bool	True	nominal	B2	bool_carrier_vs_native_or_variant				mismatched types
src/v2_std_logic.rs	58	5	Bool	False	nominal	B2	bool_carrier_vs_native_or_variant				mismatched types
src/v2_std_logic.rs	61	5	Bool	True	nominal	B2	bool_carrier_vs_native_or_variant				mismatched types
src/v2_std_logic.rs	62	5	Bool	False	nominal	B2	bool_carrier_vs_native_or_variant				mismatched types
src/std_measure.rs	496	18	Rc<i64>	i64	rc_depth	R1	rc_wrap_only				mismatched types
src/v2_std_staging.rs	31	53	B	&B	generic_arg+borrowed	A-clone	generic_param_clone_bound_absent				mismatched types
src/v2_std_staging.rs	31	53	_	&_	generic_arg+borrowed	A-clone	generic_param_clone_bound_absent				mismatched types
src/v2_std_text.rs	65	59	i64	Box<i64>	nominal	BOX-WRAP	box_wrap_only				mismatched types
src/std_realization_schedule.rs	64	11	Rc<Measure<(), S, Rc<i64>>>	Rc<Measure<(), _, i64>>	generic_arg	D	alias_arity_generic_argument_count	generic_params_unit_on_both_sides+generic_param_binding_differs			mismatched types
src/std_realization_schedule.rs	64	11	Rc<Measure<_, S, Rc<i64>>>	Rc<Measure<_, _, i64>>	generic_arg	D	alias_arity_generic_argument_count	generic_param_binding_differs			mismatched types
src/std_realization_schedule.rs	74	11	Rc<Measure<(), S, Rc<i64>>>	Rc<Measure<(), S, i64>>	generic_arg	R1	rc_wrap_at_type_argument_depth	generic_params_unit_on_both_sides			mismatched types
src/std_realization_schedule.rs	74	11	Rc<Measure<_, _, Rc<i64>>>	Rc<Measure<_, _, i64>>	generic_arg	R1	rc_wrap_at_type_argument_depth				mismatched types
src/std_realization_schedule.rs	83	19	Rc<Measure<_, _, i64>>	Rc<Measure<(), S, Rc<i64>>>	generic_arg	D	alias_arity_generic_argument_count	generic_param_unit_on_one_side+generic_param_binding_differs	src/std_measure.rs:222:8	function defined here	mismatched types
src/std_state_durability.rs	152	65	StateDurabilityBoundary	Vector<Rc<StateDurabilityBoundary>>	nominal+container	ELEM-COLL	element_vs_its_own_collection				mismatched types
src/std_state_durability.rs	163	70	Rc<StateDurabilityBoundary>	Rc<Vector<Rc<StateDurabilityBoundary>>>	nominal+container	ELEM-COLL	element_vs_its_own_collection		src/v1_rt.rs:379:8	function defined here	mismatched types
src/std_state_durability.rs	291	152	StateDefinitionCallerAssertion	Vector<Rc<StateDefinitionCallerAssertion>>	nominal+container	ELEM-COLL	element_vs_its_own_collection				mismatched types
src/std_state_durability.rs	636	59	StateDurabilityBoundary	Vector<Rc<StateDurabilityBoundary>>	nominal+container	ELEM-COLL	element_vs_its_own_collection				mismatched types
src/std_state_durability.rs	878	59	Rc<StateDurabilityEvidence<Target, ReadbackSubject>>	Rc<Vector<Rc<StateDurabilityEvidence<Target, ReadbackSubject>>>>	nominal+container	RESIDUE	unclassified_pair: Rc<StateDurabilityEvidence<Target, ReadbackSubject>> | Rc<Vector<Rc<StateDurabilityEvidence<Target, ReadbackSubject>>>>		src/v1_rt.rs:379:8	function defined here	mismatched types
src/v2_std_collection.rs	93	13	HashMap<K, V>	Rc<PartialFunction<_, _>>	rc_depth+nominal+container	T3	collection_carrier_fork		/rustc/88d9e12ae178fab0fb5cc050a94da85685d449ea/library/alloc/src/rc.rs:419:11	associated function defined here	mismatched types
src/v2_std_fold_assembly.rs	258	38	Rc<Outcome<Rc<Vector<Rc<Vector<Rc<Node>>>>>>>	Rc<Outcome<Rc<Vector<Rc<Node>>>>>	generic_arg	ELEM-COLL	element_vs_its_own_collection				`match` arms have incompatible types
src/std_cache_interface.rs	638	12	Option<String>	None	nominal+optionality	R2	optional_surface_fork				mismatched types
src/std_cache_interface.rs	652	22	Rc<Measure<(), (), i64>>	Rc<Measure<(), (), Rc<i64>>>	generic_arg	R1	rc_wrap_at_type_argument_depth	generic_params_unit_on_both_sides			mismatched types
src/std_cache_interface.rs	652	22	Rc<Measure<_, _, i64>>	Rc<Measure<_, _, Rc<i64>>>	generic_arg	R1	rc_wrap_at_type_argument_depth				mismatched types
src/std_cache_interface.rs	667	23	Rc<Measure<(), (), i64>>	Rc<Measure<(), (), Rc<i64>>>	generic_arg	R1	rc_wrap_at_type_argument_depth	generic_params_unit_on_both_sides	src/std_measure.rs:969:8	function defined here	mismatched types
src/std_cache_interface.rs	667	23	Rc<Measure<_, _, i64>>	Rc<Measure<_, _, Rc<i64>>>	generic_arg	R1	rc_wrap_at_type_argument_depth		src/std_measure.rs:969:8	function defined here	mismatched types
src/std_cache_interface.rs	695	5	String	Option<String>	nominal+optionality	R2	optional_surface_fork				mismatched types
src/std_cache_interface.rs	699	5	String	Option<String>	nominal+optionality	R2	optional_surface_fork				mismatched types
src/std_cache_interface.rs	703	5	Rc<CacheInterfaceFacts>	Option<Rc<CacheInterfaceFacts>>	rc_depth+nominal+optionality	R2	optional_surface_fork				mismatched types
src/std_cache_interface.rs	703	5	Rc<_>	Option<Rc<_>>	rc_depth+nominal+optionality	R2	optional_surface_fork				mismatched types
src/std_realization_measurement.rs	96	11	Rc<Measure<(), S, Rc<i64>>>	Rc<Measure<(), S, i64>>	generic_arg	R1	rc_wrap_at_type_argument_depth	generic_params_unit_on_both_sides			mismatched types
src/std_realization_measurement.rs	96	11	Rc<Measure<_, _, Rc<i64>>>	Rc<Measure<_, _, i64>>	generic_arg	R1	rc_wrap_at_type_argument_depth				mismatched types
src/std_realization_reconcile.rs	85	65	A	&A	generic_arg+borrowed	A-clone	generic_param_clone_bound_absent				mismatched types
src/std_realization_reconcile.rs	85	65	_	&_	generic_arg+borrowed	A-clone	generic_param_clone_bound_absent				mismatched types
src/v2_std_model_core.rs	189	13	HashMap<String, Rc<Node>>	Rc<PartialFunction<_, _>>	rc_depth+nominal+container	T3	collection_carrier_fork		/rustc/88d9e12ae178fab0fb5cc050a94da85685d449ea/library/alloc/src/rc.rs:419:11	associated function defined here	mismatched types
src/v2_std_node_query.rs	150	104	T	&T	generic_arg+borrowed	A-clone	generic_param_clone_bound_absent				mismatched types
src/v2_std_node_query.rs	150	104	_	&_	generic_arg+borrowed	A-clone	generic_param_clone_bound_absent				mismatched types
src/v2_std_provenance.rs	79	27	Option<Rc<OriginEvent>>	Rc<OriginEvent>	rc_depth+nominal+optionality	R2	optional_surface_fork		src/v2_std_witness.rs:26:8	function defined here	mismatched types
src/v2_std_provenance.rs	79	27	Option<Rc<_>>	Rc<_>	rc_depth+nominal+optionality	R2	optional_surface_fork		src/v2_std_witness.rs:26:8	function defined here	mismatched types
src/v2_lens_determinism.rs	135	42	Rc<Determinism>	Rc<Edge>	nominal	RESIDUE	unclassified_pair: Rc<Determinism> | Rc<Edge>		src/v2_lens_determinism.rs:128:8	function defined here	arguments to this function are incorrect
src/v2_lens_determinism.rs	161	64	Witness<Rc<DeterminismFact>>	Witness<DeterminismFact>	generic_arg	R1	rc_wrap_at_type_argument_depth		/rustc/88d9e12ae178fab0fb5cc050a94da85685d449ea/library/alloc/src/rc.rs:419:11	associated function defined here	mismatched types
src/v2_std_cardinality.rs	581	42	Rc<Witness<Rc<TerminationProof>>>	Rc<Edge>	nominal	RESIDUE	unclassified_pair: Rc<Witness<Rc<TerminationProof>>> | Rc<Edge>		src/v2_std_cardinality.rs:566:8	function defined here	arguments to this function are incorrect
src/v2_std_compilers_lexing.rs	235	13	Vector<Rc<Token>>	Rc<Vector<Rc<Token>>>	rc_depth+container	R1	rc_wrap_only		/rustc/88d9e12ae178fab0fb5cc050a94da85685d449ea/library/alloc/src/rc.rs:419:11	associated function defined here	mismatched types
src/v2_std_integer.rs	1359	26	Rc<Nat>	{integer}	rc_depth+nominal	B3	modeled_numeric_vs_native				mismatched types
src/v2_std_integer.rs	1362	30	Rc<Nat>	{integer}	rc_depth+nominal	B3	modeled_numeric_vs_native				mismatched types
src/v2_std_integer.rs	1365	34	Rc<Nat>	{integer}	rc_depth+nominal	B3	modeled_numeric_vs_native				mismatched types
src/v2_std_integer.rs	1368	38	Rc<Nat>	{integer}	rc_depth+nominal	B3	modeled_numeric_vs_native				mismatched types
src/v2_std_integer.rs	1371	42	Rc<Nat>	{integer}	rc_depth+nominal	B3	modeled_numeric_vs_native				mismatched types
src/v2_std_integer.rs	1374	46	Rc<Nat>	{integer}	rc_depth+nominal	B3	modeled_numeric_vs_native				mismatched types
