root	module	authority_symbol	normalized_relation
R1	std.realization_measurement	cost_account_measured_from_time_and_space	Rc<Measure<(), S, Rc<i64>>> -> Rc<Measure<(), S, i64>>
R1	std.realization_measurement	cost_account_measured_from_time_and_space	Rc<Measure<_, _, Rc<i64>>> -> Rc<Measure<_, _, i64>>
R1	std.realization_schedule	cost_account_measured	Rc<Measure<(), S, Rc<i64>>> -> Rc<Measure<(), S, i64>>
R1	std.realization_schedule	cost_account_measured	Rc<Measure<_, _, Rc<i64>>> -> Rc<Measure<_, _, i64>>
R1	v2.compiler.infer	infer_descent_witness_for_node	Witness<Rc<TerminationProof>> -> Witness<TerminationProof>
R1	v2.compiler.name_resolve	admit_named_exports	Rc<AdmitExportsFold> -> AdmitExportsFold
R1	v2.compiler.source_authority	source_root_ingest_build_from_source_refs	Rc<SourceRefReadResult> -> SourceRefReadResult
R1	v2.extdeps.runtimes.v2_evaluator	v2_eval_nth_child_target	Rc<Edge> -> Edge
R1	v2.lens.complexity_accumulator_copy.analyze	accumulator_copy_report	Rc<Vector<Finding>> -> Rc<Vector<Rc<Finding>>>
R1	v2.lens.complexity_accumulator_copy.analyze	collect_value_identifiers_into	Rc<Edge> -> Edge
R1	v2.lens.complexity_accumulator_copy.analyze	lowered_transform_port_readings	Rc<Vector<Rc<PortReading>>> -> Rc<Vector<PortReading>>
R1	v2.lens.complexity_accumulator_copy.analyze	lowered_transform_port_readings	Vector<PortReading> -> Vector<Rc<PortReading>>
R1	v2.lens.cost	symbolic_product	Rc<Nat> -> Nat
R1	v2.lens.determinism	determinism_contract_witness	Witness<Rc<DeterminismFact>> -> Witness<DeterminismFact>
R1	v2.lens.enforcement.standing_intent	standing_intent_model_anemia_repo_wide	Vector<NarrowingReason> -> Vector<Rc<NarrowingReason>>
R1	v2.lens.enforcement.standing_intent	standing_intent_single_authority_consolidation	Vector<NarrowingReason> -> Vector<Rc<NarrowingReason>>
R1	v2.lens.machine_shape	machine_shape_construction_findings	Rc<MachineShapeWalkResult> -> MachineShapeWalkResult
R1	v2.std.compilers.lexing	token_stream_remaining	Vector<Rc<Token>> -> Rc<Vector<Rc<Token>>>
