v2.test.extdeps.spice_rc_passive_deck_claims.spice_rc_passive_deck_authority_holds	 runtime error: no such function: spice_rc_passive_deck
v2.test.extdeps_shape_transport_policy.corpus.cargo_build_policy_leak.corpus_cargo_build_defused_holds	 runtime error: no such function: extdeps_cargo_build_module
v2.test.extdeps_shape_transport_policy.corpus.cargo_clippy_dead_param.corpus_cargo_clippy_dead_param_defused_holds	 runtime error: no such function: extdeps_cargo_build_module
v2.test.extdeps_shape_transport_policy.corpus.cargo_doc_dead_param.corpus_cargo_doc_dead_param_defused_holds	 runtime error: no such function: extdeps_cargo_build_module
v2.test.extdeps_shape_transport_policy.corpus.cargo_doc_policy_leak.corpus_cargo_doc_defused_holds	 runtime error: no such function: extdeps_cargo_build_module
v2.test.extdeps_shape_transport_policy.corpus.cargo_fmt_dead_param.corpus_cargo_fmt_dead_param_defused_holds	 runtime error: no such function: extdeps_cargo_build_module
v2.test.extdeps_shape_transport_policy.corpus.cargo_fmt_policy_leak.corpus_cargo_fmt_defused_holds	 runtime error: no such function: extdeps_cargo_build_module
v2.test.extdeps_shape_transport_policy.corpus.cargo_run_dead_param.corpus_cargo_run_dead_param_defused_holds	 runtime error: no such function: extdeps_cargo_build_module
v2.test.extdeps_shape_transport_policy.corpus.gcp_login_dead_param.corpus_gcp_login_dead_param_defused_holds	 runtime error: no such function: extdeps_gcp_module
v2.test.extdeps_shape_transport_policy.corpus.gcp_oauth_fusion_fork.corpus_gcp_oauth_defused_holds	 runtime error: no such function: extdeps_gcp_module
v2.test.extdeps_shape_transport_policy.corpus.gist_create_policy_leak.corpus_gist_create_defused_holds	 runtime error: no such function: extdeps_github_gists_module
v2.test.extdeps_shape_transport_policy.corpus.git_policy_leak.corpus_git_policy_leak_defused_holds	 runtime error: no such function: extdeps_git_module
v2.test.extdeps_shape_transport_policy.corpus.runtime_local_embedded_policy.corpus_runtime_local_embedded_policy_defused_holds	 runtime error: no such function: extdeps_runtime_local_module
v2.test.extdeps_shape_transport_policy.coverage_domain_equivalence_test.extdeps_shape_transport_policy_coverage_domain_equivalence_holds	 runtime error: no such function: witness_policy_leak_cargo_build_lens_unit_module
v2.test.extdeps_shape_transport_policy.lens_unit.clean_gist_create.clean_gist_create_is_green_holds	 runtime error: no such function: extdeps_github_gists_module
v2.test.extdeps_shape_transport_policy.lens_unit.clean_git_diff.clean_git_diff_is_green_holds	 runtime error: no such function: extdeps_git_module
v2.test.extdeps_shape_transport_policy.lens_unit.dead_param_cargo_build.dead_param_cargo_build_is_red_holds	 runtime error: no such function: extdeps_cargo_build_module
v2.test.extdeps_shape_transport_policy.lens_unit.dead_param_cargo_clippy.dead_param_cargo_clippy_is_red_holds	 runtime error: no such function: extdeps_cargo_build_module
v2.test.extdeps_shape_transport_policy.lens_unit.dead_param_gcp_login.dead_param_gcp_login_is_red_holds	 runtime error: no such function: extdeps_gcp_module
v2.test.extdeps_shape_transport_policy.lens_unit.embedded_policy_literal_local.embedded_policy_literal_local_is_red_holds	 runtime error: no such function: extdeps_runtime_local_module
v2.test.extdeps_shape_transport_policy.lens_unit.module_path_rename.module_path_rename_resolves_by_qn_not_filepath_holds	 runtime error: no such function: extdeps_cargo_build_module
v2.test.extdeps_shape_transport_policy.lens_unit.module_path_rename.module_path_rename_unknown_qn_does_not_resolve_holds	 runtime error: no such function: bogus_extdeps_module
v2.test.extdeps_shape_transport_policy.lens_unit.module_source_nickname_literal_green.module_source_nickname_literal_exempt_literals_is_green_holds	 runtime error: no such function: module_source_nickname_literal_green_module
v2.test.extdeps_shape_transport_policy.lens_unit.module_source_nickname_literal_coverage_domain_green.module_source_nickname_literal_coverage_domain_is_green_holds	 runtime error: no such function: coverage_domain_equivalence_module
v2.test.extdeps_shape_transport_policy.lens_unit.module_source_nickname_literal_local_red.module_source_nickname_literal_local_red_is_red_holds	 runtime error: no such function: module_source_nickname_literal_local_red_module
v2.test.extdeps_shape_transport_policy.lens_unit.policy_leak_cargo_build.policy_leak_cargo_build_is_red_holds	 runtime error: no such function: extdeps_cargo_build_module
v2.test.extdeps_shape_transport_policy.lens_unit.policy_leak_cargo_doc.policy_leak_cargo_doc_is_red_holds	 runtime error: no such function: extdeps_cargo_build_module
v2.test.extdeps_shape_transport_policy.lens_unit.policy_leak_cargo_fmt.policy_leak_cargo_fmt_is_red_holds	 runtime error: no such function: extdeps_cargo_build_module
v2.test.extdeps_shape_transport_policy.lens_unit.transport_fusion_gcp_oauth.transport_fusion_gcp_oauth_is_red_holds	 runtime error: no such function: extdeps_gcp_module
v2.test.fact_cardinality.lens_unit.synthetic_fork_red.synthetic_fork_red_holds	 runtime error: no such function: Dag
v2.test.claim.generated_conformance_floor.generated_coproduct_exhaustiveness_is_diagnostic	 runtime error: no such function: witness_coproduct_exhaustiveness_diagnostic_claim
v2.test.claim.generated_conformance_floor.generated_coproduct_exhaustiveness_anchor_holds	 runtime error: no such function: witness_coproduct_exhaustiveness_uses_generated_anchor
v2.test.claim.generated_conformance_floor.generated_coproduct_exhaustiveness_roster_covers_testclaim	 runtime error: no such function: witness_coproduct_exhaustiveness_all_variants_emit
v2.test.claim.generated_conformance_floor.generated_coproduct_exhaustiveness_covers_every_coproduct	 runtime error: no such function: witness_coproduct_exhaustiveness_generator_count
v2.test.claim.generated_conformance_floor.generated_cross_representation_equality_is_equals	 runtime error: no such function: witness_cross_representation_equality_is_equals
v2.test.claim.generated_conformance_floor.generated_cross_representation_equality_anchor_holds	 runtime error: no such function: witness_cross_representation_equality_uses_generated_anchor
v2.test.claim.generated_conformance_floor.generated_cross_representation_equality_covers_bool	 runtime error: no such function: witness_cross_representation_equality_covers_bool
v2.test.claim.generated_conformance_floor.generated_cross_representation_equality_covers_optional_null	 runtime error: no such function: witness_cross_representation_equality_covers_optional_null
v2.test.claim.generated_conformance_floor.generated_refinement_preserves_nonempty_list_base	 runtime error: no such function: witness_refinement_preserves_nonempty_list_base
v2.test.claim.generated_conformance_floor.generated_refinement_subject_anchor_holds	 runtime error: no such function: witness_refinement_preservation_subject_anchor
v2.test.claim.generated_conformance_floor.generated_refinement_scheduler_emits_one_generator	 runtime error: no such function: witness_refinement_preservation_scheduler_emits_one_generator
v2.test.claim.generated_conformance_floor.generated_refinement_claim_emits	 runtime error: no such function: claim_refinement_nonempty_list_base_preserved
v2.test.claim.generated_conformance_floor.generated_lbe_conj_snapshot_passes	 runtime error: no such function: witness_lbe_conj_snapshot_pass
v2.test.claim.generated_conformance_floor.generated_lbe_disj_snapshot_passes	 runtime error: no such function: witness_lbe_disj_snapshot_pass
v2.test.claim.generated_conformance_floor.generated_lbe_transform_snapshot_passes	 runtime error: no such function: witness_lbe_transform_snapshot_pass
v2.test.claim.generated_conformance_floor.generated_lbe_schedules_three_generators	 runtime error: no such function: witness_testgen_schedules_three_lbe_generators
v2.test.claim.generated_conformance_floor.generated_lbe_dag_surface_language_identity	 runtime error: no such function: witness_dag_surface_language_identity
v2.test.claim.generated_conformance_floor.generated_witness_validity_constraint_satisfaction_emits	 runtime error: no such function: row_witness_validity_constraint_satisfaction_holds
v2.test.claim.generated_conformance_floor.generated_witness_validity_property_symbol_mismatch_emits	 runtime error: no such function: row_witness_validity_property_symbol_mismatch
v2.test.claim.generated_conformance_floor.generated_witness_validity_evidence_node_mismatch_emits	 runtime error: no such function: row_witness_validity_evidence_node_mismatch
v2.test.claim.generated_conformance_floor.generated_witness_validity_rule_not_realized_emits	 runtime error: no such function: row_witness_validity_rule_not_realized
v2.test.claim.gha_workflow_yaml_fold_structural.gha_fold_structural_tier_holds	 runtime error: no such function: gha_fold_pilot_job
v2.test.intent_linearity.lens_unit.runtime_axis.flat_loop_not_runtime_candidate	 runtime error: no such function: type_decls_anti_unify
v2.test.intent_linearity.lens_unit.runtime_axis.nested_loop_not_changetime_redundant	 runtime error: no such function: type_decls_anti_unify
v2.test.intent_linearity.lens_unit.runtime_axis.flat_loop_is_linear	 runtime error: no such function: type_decls_anti_unify
v2.test.manual.bootstrap_footprint_anchor.bootstrap_footprint_canonical_holds	 runtime error: type error: atom_identity_hash requires exactly one string argument
