# PROVISIONAL revealed delta (combined peel+arm vs arm-only pin) — NOT a freeze pin
# baseline_census_sha	89dbea7d896b3ae95195117374a8c0c9454f341e
# scratch_sha	d8a5a37c283b0677ce05310ca23e6d2c8bd109f6
# recipe	df4c428366e + cherry-pick b7dfcef3465
# provisional_identity_unique	2155
# raw_SITE_lines	2998
# dup_extra	843
# revealed_delta_unique	229
# retired_delta	0
# classification	228 incidental BY SUBSET RULE; 1 incidental via exec; 0 deliberate; 0 unclassified
type	file	start	end
extdeps.http.server.NodeHttpRequestListener	dag/extdeps/http/server.dag	6102	6125
extdeps.http.server.NodeHttpServerRouteBinding	dag/gunbc/gunbhub_serve.dag	10407	10433
extdeps.http.server.ServedStaticRoute	dag/extdeps/http/server.dag	6629	6646
extdeps.http.server.ServedStaticRouteTable	dag/gunbc/gunbhub_serve.dag	8324	8346
extdeps.languages.markdown.MarkdownSpellings	dag/extdeps/languages/markdown.dag	2228	2245
extdeps.llm.anthropic.AnthropicModelSpec	dag/extdeps/llm/anthropic.dag	1159	1177
extdeps.llm.anthropic_errors.AnthropicErrorDetails	dag/extdeps/llm/anthropic_errors.dag	2516	2537
extdeps.llm.anthropic_errors.AnthropicErrorShape	dag/extdeps/llm/anthropic_errors.dag	2571	2590
extdeps.memory.types.DramGeneration	dag/extdeps/memory/types.dag	775	789
extdeps.memory.types.DramGeneration	dag/extdeps/memory/types.dag	898	912
extdeps.memory.types.JedecDdrGenerationCatalogRow	dag/extdeps/memory/jedec.dag	1296	1324
extdeps.memory.types.JedecDdrGenerationCatalogRow	dag/extdeps/memory/jedec.dag	598	626
extdeps.memory.types.JedecDdrGenerationCatalogRow	dag/extdeps/memory/jedec.dag	819	847
extdeps.memory.types.MemoryFacts	dag/extdeps/gpu/types.dag	2236	2247
extdeps.network.endpoint.SocketAddress	dag/extdeps/network/endpoint.dag	2091	2104
extdeps.network.ipv4.Ipv4Address	dag/extdeps/network/ipv4.dag	1878	1889
extdeps.os.ubuntu_autoinstall.UbuntuAutoinstallPayload	dag/gunbc/os_install.dag	2719	2743
extdeps.os.ubuntu_autoinstall.UbuntuAutoinstallPayload	dag/gunbc/os_install.dag	4305	4329
extdeps.provisioning.network_boot.NetworkBootChain	dag/gunbc/os_install.dag	3065	3081
extdeps.provisioning.ubuntu_install_media.UbuntuInstallMediaArtifactRow	dag/extdeps/provisioning/ubuntu_seeded_install_media.dag	827	856
extdeps.provisioning.ubuntu_install_media.UbuntuInstallMediaArtifactRow	dag/gunbc/srv3_ubuntu_install_media_artifact.dag	218	247
extdeps.provisioning.ubuntu_install_media.UbuntuInstallMediaMirrorRow	dag/gunbc/srv3_install_media_fetch.dag	2287	2314
extdeps.provisioning.ubuntu_seeded_install_media.UbuntuSeededInstallMediaArtifactRow	dag/gunbc/srv3_seeded_install_media_artifact.dag	1439	1474
extdeps.render.surface.GroupSyntax	dag/extdeps/render/surface.dag	1282	1293
extdeps.render.surface.GroupSyntax	dag/extdeps/render/surface.dag	918	929
extdeps.router.verizon_cr1000a.Cr1000aDhcpLeaseRow	dag/gunbc/network_identity_subsumption.dag	3178	3197
extdeps.router.verizon_cr1000a.Cr1000aDhcpLeaseRow	dag/gunbc/network_identity_subsumption.dag	3510	3529
extdeps.router.verizon_cr1000a.Cr1000aRouterCatalogRow	dag/extdeps/router/verizon_cr1000a.dag	1063	1086
extdeps.ssh.SshPublicKey	dag/gunbc/fleet_ssh_access.dag	522	534
extdeps.ssh.SshPublicKey	dag/gunbc/fleet_ssh_access.dag	717	729
extdeps.ssh.SshPublicKey	dag/gunbc/host_authorized_keys_reconcile.dag	5436	5448
extdeps.ssh.SshPublicKey	dag/gunbc/host_authorized_keys_reconcile.dag	5643	5655
extdeps.storage.types.NvmeDeviceCatalogRow	dag/extdeps/storage/samsung.dag	961	981
extdeps.storage.types.NvmeDeviceCatalogRow	dag/extdeps/storage/western_digital.dag	651	671
extdeps.storage.types.PcieLink	dag/extdeps/storage/types.dag	1426	1434
extdeps.systemd.oomd.UnitManagedOomPolicy	dag/gunbc/oomd_install.dag	1369	1389
extdeps.tailscale.acl.TailscaleAclPolicy	dag/extdeps/tailscale/acl.dag	5644	5662
extdeps.tools.CliTool	dag/extdeps/tools/curl.dag	559	566
extdeps.tools.CliTool	dag/extdeps/tools/nbdkit.dag	523	530
extdeps.tools.CliTool	dag/extdeps/tools/socat.dag	533	540
extdeps.tools.CliTool	dag/extdeps/tools/websocat.dag	866	873
extdeps.tools.free.MemoryStats	dag/extdeps/tools/free.dag	563	574
extdeps.uri.Uri	dag/extdeps/external_authority.dag	134	137
gunbc.accelerator_demo_render.AcceleratorDemoPlanView	dag/gunbc/accelerator_demo_render.dag	271	294
gunbc.assimilate.bmc_token_federation.SecretAccessBinding	dag/gunbc/assimilate/bmc_token_federation.dag	4987	5006
gunbc.assimilate.bmc_token_federation.SecretAccessBinding	dag/gunbc/tailscale_acl_phase2_credential.dag	1586	1605
gunbc.assimilate.bmc_wif_delegation_chain.WifDelegationChain	dag/gunbc/assimilate/bmc_wif_delegation_chain.dag	4735	4753
gunbc.auth.secret_access_grant.SecretAccessGrant	dag/gunbc/assimilate/bmc_wif_delegation_chain.dag	2423	2440
gunbc.auth.secret_access_grant.SecretAccessGrant	dag/gunbc/assimilate/bmc_wif_delegation_chain.dag	5097	5114
gunbc.bmc_onboarding.BmcOnboardingPlan	dag/gunbc/bmc_onboarding.dag	7112	7129
gunbc.bmc_onboarding.BmcOnboardingPlan	dag/gunbc/bmc_onboarding.dag	7240	7257
gunbc.build_cache_instance.RunnerSlotIdentity	dag/gunbc/build_cache_instance.dag	8608	8626
gunbc.ci_deploy_access.DeployAccess	dag/gunbc/ci_deploy_access.dag	6571	6583
gunbc.ci_deploy_access.DeployAccess	dag/gunbc/ci_deploy_access.dag	7002	7014
gunbc.ci_deploy_access.DeployAccess	dag/gunbc/host_identity_access.dag	499	511
gunbc.ci_deploy_access.DeployAccess	dag/gunbc/host_toolchain_ensure.dag	3788	3800
gunbc.ci_deploy_access.DeployAccessJobPrincipalRefusal	dag/gunbc/ci_deploy_access.dag	1960	1991
gunbc.ci_deploy_access.DeployAuthorizationQuery	dag/gunbc/ci_deploy_access.dag	8409	8433
gunbc.ci_deploy_access.PrivilegedCommand	dag/gunbc/ci_deploy_access.dag	4005	4022
gunbc.ci_fleet.ComputeOffer	dag/gunbc/ci_fleet.dag	2745	2757
gunbc.ci_fleet.ComputeSupplyFacts	dag/gunbc/ci_fleet.dag	1452	1470
gunbc.ci_fleet.CostEstimate	dag/gunbc/ci_fleet.dag	1630	1642
gunbc.ci_fleet.CostModel	dag/gunbc/ci_fleet.dag	1175	1184
gunbc.ci_runner_placement.OperatingPointRow	dag/gunbc/ci_runner_placement.dag	13181	13198
gunbc.ci_runner_placement.OperatingPointRow	dag/gunbc/ci_runner_placement.dag	14338	14355
gunbc.ci_runner_placement.RunnerHostDeployment	dag/gunbc/ci_runner_placement.dag	2611	2631
gunbc.ci_spec.DeployStage	dag/gunbc/ci_spec.dag	8253	8264
gunbc.deployed_intent_v0.DeployedIntentV0	dag/gunbc/deployed_intent_v0.dag	1972	1988
gunbc.deployed_intent_v0.DeployedIntentV0	dag/gunbc/deployed_intent_v0.dag	3112	3128
gunbc.digest_render.PullRequestDigestSubject	dag/gunbc/digest_render.dag	867	891
gunbc.fleet_converge_cli.ConvergeCliOutput	dag/gunbc/fleet_converge_cli.dag	8648	8665
gunbc.fleet_converge_cli.ConvergeCliReceipt	dag/gunbc/fleet_converge_cli.dag	9393	9411
gunbc.fleet_intent.ComputeHost	dag/gunbc/ci_deploy_access.dag	1646	1657
gunbc.fleet_intent.ComputeHost	dag/gunbc/ci_fleet.dag	1280	1291
gunbc.fleet_intent.ComputeHost	dag/gunbc/fleet_intent.dag	10544	10555
gunbc.fleet_intent.ComputeHost	dag/gunbc/fleet_intent.dag	10904	10915
gunbc.fleet_intent.ComputeHost	dag/gunbc/fleet_intent.dag	11264	11275
gunbc.fleet_intent.ComputeHost	dag/gunbc/host_toolchain_ensure.dag	3765	3776
gunbc.fleet_intent.ComputeHost	dag/gunbc/os_install_actuator_selection.dag	10902	10913
gunbc.fleet_posix_accounts.DeployRunnerPrincipal	dag/gunbc/fleet_posix_accounts.dag	3140	3161
gunbc.fleet_posix_accounts.GroundedPosixPrincipal	dag/gunbc/fleet_posix_accounts.dag	6152	6174
gunbc.fleet_posix_accounts.PosixAccountDeclaredProbe	dag/gunbc/fleet_posix_accounts.dag	2642	2667
gunbc.fleet_posix_accounts.PosixSudoGrant	dag/gunbc/ci_deploy_access.dag	1564	1578
gunbc.fleet_posix_accounts.PosixSudoGrant	dag/gunbc/fleet_posix_accounts.dag	5335	5349
gunbc.gunbhub_serve.GunbhubHttpResponse	dag/gunbc/gunbhub_serve.dag	848	867
gunbc.host_converge.ConvergeKnob	dag/gunbc/host_converge.dag	7202	7214
gunbc.host_converge.ConvergeKnob	dag/gunbc/host_converge_delta.dag	1672	1684
gunbc.host_converge.ConvergeKnob	dag/gunbc/host_converge_delta.dag	3161	3173
gunbc.host_converge_delta.ConvergeKnobKey	dag/gunbc/host_converge_delta.dag	1655	1670
gunbc.host_effect.HostEffect	dag/gunbc/ci_deploy_access_observe.dag	1459	1469
gunbc.host_effect.HostEffectEvidence	dag/gunbc/host_effect_realize.dag	72884	72902
gunbc.host_effect.HostEffectIntent	dag/gunbc/host_effect_realize.dag	72866	72882
gunbc.host_effect.HostEffectIntent	dag/gunbc/live_deploy/apply.dag	7363	7379
gunbc.host_effect.ThinInvocation	dag/gunbc/fleet_converge_apply.dag	3283	3297
gunbc.host_effect_nbd_proxy_serve.NbdProxyServeSessionBinding	dag/gunbc/host_effect_nbd_proxy_serve.dag	3408	3435
gunbc.host_identity_adopt.HostIdentityAdoptReceipt	dag/gunbc/host_identity_adopt.dag	2249	2273
gunbc.host_identity_knob.HostIdentityKnobKey	dag/gunbc/host_identity_adopt.dag	95	114
gunbc.host_identity_knob.HostIdentityKnobKey	dag/gunbc/host_identity_knob.dag	374	393
gunbc.host_identity_knob.HostIdentityKnobValue	dag/gunbc/host_identity_knob.dag	301	322
gunbc.host_identity_observation.HostIdentityObservation	dag/gunbc/host_identity_observation.dag	2489	2512
gunbc.host_identity_observation.HostIdentityObservation	dag/gunbc/host_identity_observation.dag	2654	2677
gunbc.host_phase_status.HostPhaseCellStatus	dag/gunbc/host_phase_status.dag	13900	13919
gunbc.host_runner_memory_cap_verify.RunnerMemoryCapVerifyTally	dag/gunbc/host_runner_memory_cap_verify.dag	2906	2932
gunbc.host_standup.GapLedgerRow	dag/gunbc/host_standup.dag	14412	14424
gunbc.host_standup.HostStandupStep	dag/gunbc/host_standup.dag	4747	4762
gunbc.membership_reconcile.MembershipTally	dag/gunbc/membership_reconcile.dag	5590	5605
gunbc.merge_admission.MergeAdmissionReceipt	dag/gunbc/merge_admission.dag	15412	15433
gunbc.merge_admission.RepoStandard	dag/gunbc/merge_admission.dag	1749	1761
gunbc.nbd_proxy_virtual_media_install.OsInstallActuatorPlan	dag/gunbc/nbd_proxy_virtual_media_install.dag	4251	4272
