tag	file	name	candidate_modules
compile	dag/extdeps/languages/dag/syntax.dag	Or	std.syntax,v2.std.orchestration
compile	dag/extdeps/languages/go/module.dag	Greater	std.algebra,v2.std.algebra
compile	dag/extdeps/languages/go/module.dag	Equal	std.algebra,v2.std.algebra
compile	dag/extdeps/languages/go/module.dag	Less	std.algebra,v2.std.algebra
compile	dag/extdeps/languages/go/syntax.dag	Or	std.syntax,v2.std.orchestration
compile	dag/extdeps/languages/go/syntax.dag	And	std.syntax,v2.std.orchestration
compile	dag/extdeps/languages/gpu/wgsl/kernel.dag	Terminal	std.disposition,v2.std.grammar
compile	dag/extdeps/languages/html_fragment.dag	Fragment	std.markup,v2.extdeps.frameworks.react
compile	dag/extdeps/languages/markdown.dag	Rejected	std.markup,v2.std.diagnostic,v2.test.manual.forensics_6280_synth_owner_a,v2.test.manual.forensics_6280_synth_owner_b,v2.test.manual.forensics_6280_synth_owner_c
compile	dag/extdeps/languages/python/syntax.dag	Or	std.syntax,v2.std.orchestration
compile	dag/extdeps/languages/python/syntax.dag	And	std.syntax,v2.std.orchestration
compile	dag/extdeps/languages/rust/syntax.dag	Or	std.syntax,v2.std.orchestration
compile	dag/extdeps/languages/rust/syntax.dag	And	std.syntax,v2.std.orchestration
compile	dag/extdeps/languages/typescript/syntax.dag	Or	std.syntax,v2.std.orchestration
compile	dag/extdeps/languages/typescript/syntax.dag	And	std.syntax,v2.std.orchestration
compile	dag/extdeps/languages/yaml/gha_workflow.dag	Closed	extdeps.github.actions,extdeps.github.pulls
compile	dag/extdeps/languages/yaml/gha_workflow.dag	Job	extdeps.github.actions,extdeps.github.expressions
compile	dag/extdeps/languages/yaml/gha_workflow.dag	PermRead	extdeps.github.actions,extdeps.github.github
compile	dag/extdeps/languages/yaml/gha_workflow.dag	PermWrite	extdeps.github.actions,extdeps.github.github
compile	dag/extdeps/languages/yaml/gha_workflow.dag	PullRequest	extdeps.github.actions,extdeps.github.pulls
compile	dag/extdeps/languages/yaml/gha_workflow.dag	Step	extdeps.cron.schedule_model,extdeps.github.actions
compile	dag/extdeps/languages/yaml/gha_workflow.dag	Cmd	extdeps.container.oci.image_config,extdeps.github.actions
compile	dag/extdeps/llm/anthropic.dag	Terminal	std.disposition,v2.std.grammar
compile	dag/extdeps/llm/anthropic.dag	Blocked	extdeps.coverage,extdeps.github.merge_state
compile	dag/extdeps/llm/anthropic_rest.dag	EnvVar	gunbc.workflow.types,std.credentials
compile	dag/extdeps/llm/anthropic_rest.dag	POST	std.types,v2.std.network
compile	dag/extdeps/llm/cli.dag	Review	gunbc.idea_pr_spine,gunbc.workflow.types
compile	dag/extdeps/llm/llm_contracts.dag	SnakeCase	std.languages,std.serialization,v1.compiler.languages
compile	dag/extdeps/llm/openai_rest.dag	POST	std.types,v2.std.network
compile	dag/extdeps/llm/openai_rest.dag	Json	std.serialization,std.types
compile	dag/extdeps/os/systemd_contracts.dag	SnakeCase	std.languages,std.serialization,v1.compiler.languages
compile	dag/extdeps/os/ubuntu_seeded_install_media_remaster.dag	Terminal	std.disposition,v2.std.grammar
compile	dag/extdeps/provisioning/dhcp_client_arch.dag	Aarch64	extdeps.os.ubuntu_install_media,extdeps.toolchain.types
compile	dag/extdeps/provisioning/network_boot.dag	Aarch64	extdeps.os.ubuntu_install_media,extdeps.toolchain.types
compile	dag/extdeps/realization/compile_stage_memo.dag	Never	std.cache_interface,v2.std.cardinality
compile	dag/extdeps/realization/eval_memo.dag	Never	std.cache_interface,v2.std.cardinality
compile	dag/extdeps/realization/hermetic_fixture.dag	Never	std.cache_interface,v2.std.cardinality
compile	dag/extdeps/realization/parse_table_memo.dag	Never	std.cache_interface,v2.std.cardinality
compile	dag/extdeps/realization/reconcile_in_process.dag	Never	std.cache_interface,v2.std.cardinality
compile	dag/extdeps/render/ansi.dag	Active	extdeps.dhcp.v4,extdeps.os.systemd
compile	dag/extdeps/render/ansi.dag	Info	ctrl.review_verdict,std.symbols
compile	dag/extdeps/render/ansi.dag	Success	extdeps.github.checks,extdeps.github.expressions,extdeps.github.workflow_runs
compile	dag/extdeps/render/glyphs.dag	Info	ctrl.review_verdict,std.symbols
compile	dag/extdeps/render/glyphs.dag	Active	extdeps.dhcp.v4,extdeps.os.systemd
compile	dag/extdeps/render/glyphs.dag	Success	extdeps.github.checks,extdeps.github.expressions,extdeps.github.workflow_runs
compile	dag/extdeps/render/surface.dag	Leaf	ctrl.process_algebra,std.render,std.workflow_recursive
compile	dag/extdeps/render/surface.dag	Group	gunbc.roadmap_model,std.algebra,std.render,v2.std.algebra
compile	dag/extdeps/render/terminal.dag	Frame	std.materialization_ladder,std.render
compile	dag/extdeps/runtime/architecture/aarch64_linux.dag	Aarch64	extdeps.os.ubuntu_install_media,extdeps.toolchain.types
compile	dag/extdeps/shell/credentials.dag	Env	extdeps.container.oci.image_config,extdeps.github.expressions
compile	dag/extdeps/tailscale/acl_api.dag	GET	std.types,v2.std.network
compile	dag/extdeps/tailscale/acl_api.dag	PUT	std.types,v2.std.network
compile	dag/extdeps/tcgplayer/catalog.dag	GET	std.types,v2.std.network
compile	dag/extdeps/tcgplayer/pricing.dag	GET	std.types,v2.std.network
compile	dag/extdeps/tcgplayer/store.dag	PUT	std.types,v2.std.network
compile	dag/extdeps/tcgplayer/store.dag	POST	std.types,v2.std.network
compile	dag/extdeps/tcgplayer/tcgplayer.dag	POST	std.types,v2.std.network
witness	dag/extdeps/test/http_pilot.dag	GET	std.types,v2.std.network
compile	dag/extdeps/transports/fidelity.dag	Unknown	extdeps.github.merge_state,extdeps.github.mergeable_state
compile	dag/extdeps/version/pep440.dag	Greater	std.algebra,v2.std.algebra
compile	dag/extdeps/version/pep440.dag	Less	std.algebra,v2.std.algebra
compile	dag/extdeps/version/pep440.dag	Equal	std.algebra,v2.std.algebra
compile	dag/extdeps/version/pep440.dag	NonNegativeInt	std.integer,v2.std.refinement
compile	dag/extdeps/version/semver.dag	NonNegativeInt	std.integer,v2.std.refinement
compile	dag/extdeps/version/semver.dag	Greater	std.algebra,v2.std.algebra
compile	dag/extdeps/version/semver.dag	Equal	std.algebra,v2.std.algebra
compile	dag/extdeps/version/semver.dag	Less	std.algebra,v2.std.algebra
compile	dag/gunbc/accelerator_demo_plan.dag	ReadEffect	std.effects,v2.std.effects
compile	dag/gunbc/accelerator_demo_plan.dag	Recompute	std.cache_interface,std.realization
compile	dag/gunbc/accelerator_demo_plan.dag	Schedule	extdeps.github.actions,std.realization_schedule
compile	dag/gunbc/accelerator_demo_realize.dag	Refused	gunbc.accelerator_demo_plan,gunbc.host_effect_realize
compile	dag/gunbc/accelerator_demo_recognizer.dag	Refused	gunbc.accelerator_demo_plan,gunbc.host_effect_realize
compile	dag/gunbc/accelerator_demo_render.dag	Refused	gunbc.accelerator_demo_plan,gunbc.host_effect_realize
compile	dag/gunbc/assimilate/bmc_bootstrap_provision.dag	Network	std.cache_interface,std.resources
compile	dag/gunbc/assimilate/bmc_token_federation.dag	PermWrite	extdeps.github.actions,extdeps.github.github
compile	dag/gunbc/assimilate/bmc_token_federation.dag	PermRead	extdeps.github.actions,extdeps.github.github
compile	dag/gunbc/assimilate/bmc_token_federation.dag	Job	extdeps.github.actions,extdeps.github.expressions
