tag	file	name	candidate_modules
compile	dag/extdeps/languages/markdown.dag	Rejected	std.markup,v2.std.diagnostic
compile	dag/gunbc/ci_spec.dag	Rejected	std.markup,v2.std.diagnostic
compile	dag/gunbc/fleet_converge_emit.dag	Rejected	std.markup,v2.std.diagnostic
witness	dag/test/claim/long/reference_closure_equivalence_test.dag	Rejected	std.markup,v2.std.diagnostic
witness	dag/test/claim/markdown_markup_xss_witness_test.dag	Rejected	std.markup,v2.std.diagnostic
witness	dag/test/claim/orchestration_if_emit_test.dag	Rejected	std.markup,v2.std.diagnostic
compile	src/v2/compiler/05_eval.dag	Verdict	v2.std.verdict,v2.test.manual.forensics_6280_tokenize_reject_locus
compile	src/v2/compiler/emit_host.dag	Verdict	v2.std.verdict,v2.test.manual.forensics_6280_tokenize_reject_locus
