message	path	line	col	left	right	single	code
binary operation `==` cannot be applied to type `Rc<Measure<(), (), Rc<Rc<CommutativeSemiring<Magnitude>>>>>`	src/std_realization_measurement.rs	96	5			Rc<Measure<(), (), Rc<Rc<CommutativeSemiring<Magnitude>>>>>	#[derive(Debug, Clone, PartialEq, serde::Serialize, serde::Deserialize)]
binary operation `==` cannot be applied to type `Rc<Rc<CommutativeSemiring<Magnitude>>>`	src/std_realization_measurement.rs	125	68			Rc<Rc<CommutativeSemiring<Magnitude>>>	(((measure_count(concurrent_memory_peak_per_share(sample.clone())) == 2100028416) && (measure_count(concurrent_memory_peak_per_shar...
binary operation `==` cannot be applied to type `Rc<Rc<CommutativeSemiring<Magnitude>>>`	src/std_realization_measurement.rs	125	155			Rc<Rc<CommutativeSemiring<Magnitude>>>	...28416) && (measure_count(concurrent_memory_peak_per_share(degenerate.clone())) == 2100028416)) && (measure_count(concurrent_memo...
binary operation `==` cannot be applied to type `Rc<Rc<CommutativeSemiring<Magnitude>>>`	src/std_realization_measurement.rs	125	244			Rc<Rc<CommutativeSemiring<Magnitude>>>	...416)) && (measure_count(concurrent_memory_peak_per_share(indivisible.clone())) == 3))
binary operation `==` cannot be applied to type `Rc<Rc<CommutativeSemiring<Magnitude>>>`	src/std_realization_measurement.rs	130	31			Rc<Rc<CommutativeSemiring<Magnitude>>>	(measure_count(d.clone()) == 0)
cannot add `Rc<Rc<CommutativeSemiring<Magnitude>>>` to `Rc<Rc<CommutativeSemiring<Magnitude>>>`	src/std_realization_measurement.rs	140	52				time_measure((measure_count(a.clone()) + measure_count(b.clone())))
binary operation `==` cannot be applied to type `Rc<Rc<CommutativeSemiring<Magnitude>>>`	src/std_realization_measurement.rs	178	42			Rc<Rc<CommutativeSemiring<Magnitude>>>	if (measure_count(wall_time.clone()) == 0) {
binary operation `!=` cannot be applied to type `Rc<Rc<CommutativeSemiring<Magnitude>>>`	src/std_realization_measurement.rs	184	26			Rc<Rc<CommutativeSemiring<Magnitude>>>	((measured_count.clone() != predicted_count.clone()) && (measured_count.clone() == measure_count(wall_time.clone())))
binary operation `==` cannot be applied to type `Rc<Rc<CommutativeSemiring<Magnitude>>>`	src/std_realization_measurement.rs	184	81			Rc<Rc<CommutativeSemiring<Magnitude>>>	((measured_count.clone() != predicted_count.clone()) && (measured_count.clone() == measure_count(wall_time.clone())))
binary operation `>` cannot be applied to type `Rc<Rc<CommutativeSemiring<Magnitude>>>`	src/std_realization_width.rs	84	25			Rc<Rc<CommutativeSemiring<Magnitude>>>	if (total_bytes.clone() > reserved_bytes.clone()) {
cannot subtract `Rc<Rc<CommutativeSemiring<Magnitude>>>` from `Rc<Rc<CommutativeSemiring<Magnitude>>>`	src/std_realization_width.rs	85	44				byte_size((total_bytes.clone() - reserved_bytes.clone()))
binary operation `>` cannot be applied to type `Rc<Rc<CommutativeSemiring<Magnitude>>>`	src/std_realization_width.rs	96	16			Rc<Rc<CommutativeSemiring<Magnitude>>>	if (av.clone() > bv.clone()) {
cannot subtract `Rc<Rc<CommutativeSemiring<Magnitude>>>` from `Rc<Rc<CommutativeSemiring<Magnitude>>>`	src/std_realization_width.rs	97	47				hardware_thread_count((av.clone() - bv.clone()))
binary operation `>=` cannot be applied to type `Rc<Rc<CommutativeSemiring<Magnitude>>>`	src/std_realization_width.rs	113	36			Rc<Rc<CommutativeSemiring<Magnitude>>>	if (byte_size_count(a.clone()) >= byte_size_count(b.clone())) {
binary operation `==` cannot be applied to type `Rc<Rc<CommutativeSemiring<Magnitude>>>`	src/std_realization_width.rs	127	26			Rc<Rc<CommutativeSemiring<Magnitude>>>	if (budget_bytes.clone() == 0) {
binary operation `==` cannot be applied to type `Rc<Rc<CommutativeSemiring<Magnitude>>>`	src/std_realization_width.rs	157	23			Rc<Rc<CommutativeSemiring<Magnitude>>>	if (mem_bytes.clone() == 0) {
binary operation `==` cannot be applied to type `Rc<Measure<(), (), Rc<Rc<CommutativeSemiring<Magnitude>>>>>`	src/std_realization_width.rs	181	5			Rc<Measure<(), (), Rc<Rc<CommutativeSemiring<Magnitude>>>>>	#[derive(Debug, Clone, PartialEq, serde::Serialize, serde::Deserialize)]
binary operation `==` cannot be applied to type `Rc<Rc<CommutativeSemiring<Magnitude>>>`	src/std_realization_width.rs	201	107			Rc<Rc<CommutativeSemiring<Magnitude>>>	(hardware_thread_count_value(bounded_host_spawn_width(shard_count.clone(), hardware_threads.clone())) == expected.clone())
binary operation `!=` cannot be applied to type `Rc<Rc<CommutativeSemiring<Magnitude>>>`	src/std_realization_width.rs	205	107			Rc<Rc<CommutativeSemiring<Magnitude>>>	(hardware_thread_count_value(bounded_host_spawn_width(shard_count.clone(), hardware_threads.clone())) != shard_count.clone())
binary operation `==` cannot be applied to type `Rc<Measure<(), (), Rc<Rc<CommutativeSemiring<Magnitude>>>>>`	src/std_realization_width.rs	237	5			Rc<Measure<(), (), Rc<Rc<CommutativeSemiring<Magnitude>>>>>	#[derive(Debug, Clone, PartialEq, serde::Serialize, serde::Deserialize)]
binary operation `==` cannot be applied to type `Rc<Measure<(), (), Rc<Rc<CommutativeSemiring<Magnitude>>>>>`	src/std_realization_width.rs	238	5			Rc<Measure<(), (), Rc<Rc<CommutativeSemiring<Magnitude>>>>>	#[derive(Debug, Clone, PartialEq, serde::Serialize, serde::Deserialize)]
