# census_sha	38cbcd2917d33cbd094498dacb0fd5dd3da8936a
# PROVISIONAL_UNFROZEN — freeze waits peel #7630 merge + re-census pin
# key grain: TYPE x (file, span_start, span_end)
# disposition	provisional_incidental_debt
# note	post-main-merge re-census: compile-clean SITE dump + heal/run closure extras (byte spans)
# types	416	sites	2133
# TYPE	NonEmptyStr	392
NonEmptyStr	dag/extdeps/bmc/webui/nbd_proxy_serve.dag	289	300
NonEmptyStr	dag/extdeps/bmc/webui/nbd_proxy_serve.dag	681	692
NonEmptyStr	dag/extdeps/bmc/webui/nbd_proxy_serve.dag	710	721
NonEmptyStr	dag/extdeps/bmc/webui/nbd_proxy_serve.dag	733	744
NonEmptyStr	dag/extdeps/bmc/webui/nbd_proxy_serve.dag	757	768
NonEmptyStr	dag/extdeps/bmc/webui/nbd_proxy_serve.dag	838	849
NonEmptyStr	dag/extdeps/bmc/webui/nbd_proxy_serve.dag	980	991
NonEmptyStr	dag/extdeps/bmc/webui/nbd_proxy_serve.dag	1010	1021
NonEmptyStr	dag/extdeps/bmc/webui/nbd_proxy_serve.dag	1034	1045
NonEmptyStr	dag/extdeps/bmc/webui/nbd_proxy_serve.dag	1059	1070
NonEmptyStr	dag/extdeps/bmc/webui/nbd_proxy_serve.dag	1723	1734
NonEmptyStr	dag/extdeps/bmc/webui/nbd_proxy_serve.dag	1757	1768
NonEmptyStr	dag/extdeps/bmc/webui/nbd_proxy_serve.dag	1787	1798
NonEmptyStr	dag/extdeps/bmc/webui/nbd_proxy_serve.dag	2115	2126
NonEmptyStr	dag/extdeps/bmc/webui/nbd_proxy_serve.dag	2149	2160
NonEmptyStr	dag/extdeps/bmc/webui/nbd_proxy_serve.dag	2179	2190
NonEmptyStr	dag/extdeps/bmc/webui/nbd_proxy_serve.dag	2506	2517
NonEmptyStr	dag/extdeps/bmc/webui/nbd_proxy_serve.dag	2543	2554
NonEmptyStr	dag/extdeps/bmc/webui/nbd_proxy_serve.dag	2605	2616
NonEmptyStr	dag/extdeps/bmc/webui/nbd_proxy_serve.dag	2621	2632
NonEmptyStr	dag/extdeps/bmc/webui/nbd_proxy_serve.dag	2701	2712
NonEmptyStr	dag/extdeps/bmc/webui/nbd_proxy_serve.dag	2765	2776
NonEmptyStr	dag/extdeps/bmc/webui/nbd_proxy_serve.dag	2781	2792
NonEmptyStr	dag/extdeps/bmc/webui/nbd_proxy_serve.dag	2857	2868
NonEmptyStr	dag/extdeps/boot/emit.dag	257	268
NonEmptyStr	dag/extdeps/boot/emit.dag	1901	1912
NonEmptyStr	dag/extdeps/boot/freestanding_payload.dag	287	298
NonEmptyStr	dag/extdeps/boot/freestanding_payload.dag	350	361
NonEmptyStr	dag/extdeps/boot/freestanding_payload.dag	416	427
NonEmptyStr	dag/extdeps/boot/freestanding_witness.dag	4702	4713
NonEmptyStr	dag/extdeps/boot/linux_x86_boot.dag	262	273
NonEmptyStr	dag/extdeps/cloud/gcp/errors.dag	707	718
NonEmptyStr	dag/extdeps/cloud/gcp/gcp.dag	677	688
NonEmptyStr	dag/extdeps/cloud/gcp/iam.dag	3661	3672
NonEmptyStr	dag/extdeps/cloud/gcp/iam_admin.dag	608	619
NonEmptyStr	dag/extdeps/cloud/gcp/iam_admin.dag	640	651
NonEmptyStr	dag/extdeps/cloud/gcp/iam_admin.dag	1269	1280
NonEmptyStr	dag/extdeps/cloud/gcp/iam_admin.dag	1301	1312
NonEmptyStr	dag/extdeps/cloud/gcp/iam_admin.dag	1944	1955
NonEmptyStr	dag/extdeps/cloud/gcp/iam_admin.dag	1975	1986
NonEmptyStr	dag/extdeps/cloud/gcp/iam_admin.dag	2005	2016
NonEmptyStr	dag/extdeps/cloud/gcp/iam_admin.dag	2089	2100
NonEmptyStr	dag/extdeps/cloud/gcp/secret_manager.dag	1337	1348
NonEmptyStr	dag/extdeps/cloud/gcp/secret_manager.dag	1364	1375
NonEmptyStr	dag/extdeps/cloud/gcp/secret_manager.dag	1913	1924
NonEmptyStr	dag/extdeps/cloud/gcp/secret_manager.dag	2916	2927
NonEmptyStr	dag/extdeps/cloud/gcp/secret_ref.dag	388	399
NonEmptyStr	dag/extdeps/cloud/gcp/secret_ref.dag	411	422
NonEmptyStr	dag/extdeps/cloud/gcp/sts.dag	604	615
NonEmptyStr	dag/extdeps/cloud/gcp/sts.dag	1200	1211
NonEmptyStr	dag/extdeps/cloud/gcp/sts.dag	1692	1703
NonEmptyStr	dag/extdeps/cloud/gcp/sts.dag	2173	2184
NonEmptyStr	dag/extdeps/cloud/ubicloud.dag	1805	1816
NonEmptyStr	dag/extdeps/cpu/types.dag	645	656
NonEmptyStr	dag/extdeps/cpu/types.dag	928	939
NonEmptyStr	dag/extdeps/cpu/types.dag	958	969
NonEmptyStr	dag/extdeps/git/git.dag	1237	1248
NonEmptyStr	dag/extdeps/git/git.dag	28454	28465
NonEmptyStr	dag/extdeps/git/git.dag	29109	29120
NonEmptyStr	dag/extdeps/git/git.dag	29272	29283
NonEmptyStr	dag/extdeps/git/git.dag	29957	29968
NonEmptyStr	dag/extdeps/git/git.dag	30246	30257
NonEmptyStr	dag/extdeps/git/git.dag	30690	30701
NonEmptyStr	dag/extdeps/ssh/session.dag	3496	3507
NonEmptyStr	dag/extdeps/ssh/session.dag	3819	3830
NonEmptyStr	dag/extdeps/ssh/session.dag	3841	3852
NonEmptyStr	dag/extdeps/ssh/session.dag	4224	4235
NonEmptyStr	dag/extdeps/ssh/session.dag	4768	4779
NonEmptyStr	dag/extdeps/ssh/session.dag	5319	5330
NonEmptyStr	dag/extdeps/ssh/session.dag	5870	5881
NonEmptyStr	dag/extdeps/ssh/session.dag	5892	5903
NonEmptyStr	dag/extdeps/ssh/session.dag	6187	6198
NonEmptyStr	dag/extdeps/ssh/session.dag	6502	6513
NonEmptyStr	dag/gunbc/accelerator_demo_gpu.dag	365	376
NonEmptyStr	dag/gunbc/accelerator_demo_plan.dag	513	524
NonEmptyStr	dag/gunbc/accelerator_demo_render.dag	1920	1931
NonEmptyStr	dag/gunbc/auth/credentials.dag	77	88
NonEmptyStr	dag/gunbc/auth/credentials.dag	105	116
NonEmptyStr	dag/gunbc/auth/credentials.dag	129	140
NonEmptyStr	dag/gunbc/bootstrap.dag	813	824
NonEmptyStr	dag/gunbc/bootstrap.dag	1031	1042
NonEmptyStr	dag/gunbc/bootstrap.dag	1057	1068
NonEmptyStr	dag/gunbc/bootstrap.dag	1765	1776
NonEmptyStr	dag/gunbc/bootstrap.dag	1847	1858
NonEmptyStr	dag/gunbc/bootstrap.dag	1907	1918
NonEmptyStr	dag/gunbc/bootstrap.dag	1946	1957
NonEmptyStr	dag/gunbc/code_change_workflow.dag	383	394
NonEmptyStr	dag/gunbc/digest_render.dag	98	109
NonEmptyStr	dag/gunbc/file_access.dag	61	72
NonEmptyStr	dag/gunbc/fleet_show_effective_read.dag	88	99
NonEmptyStr	dag/gunbc/fleet_show_effective_read.dag	138	149
NonEmptyStr	dag/gunbc/fleet_show_effective_read.dag	197	208
NonEmptyStr	dag/gunbc/fleet_show_effective_read.dag	261	272
NonEmptyStr	dag/gunbc/fleet_show_effective_read.dag	323	334
NonEmptyStr	dag/gunbc/fleet_show_effective_read.dag	375	386
NonEmptyStr	dag/gunbc/fleet_show_effective_read.dag	434	445
NonEmptyStr	dag/gunbc/fleet_show_effective_read.dag	479	490
NonEmptyStr	dag/gunbc/fleet_show_effective_read.dag	543	554
NonEmptyStr	dag/gunbc/fleet_show_effective_read.dag	597	608
NonEmptyStr	dag/gunbc/fleet_show_effective_read.dag	658	669
NonEmptyStr	dag/gunbc/fleet_show_effective_read.dag	709	720
NonEmptyStr	dag/gunbc/fleet_show_effective_read.dag	1320	1331
NonEmptyStr	dag/gunbc/host_identity_access.dag	73	84
NonEmptyStr	dag/gunbc/host_identity_access.dag	176	187
NonEmptyStr	dag/gunbc/host_identity_access.dag	593	604
NonEmptyStr	dag/gunbc/host_identity_access.dag	735	746
NonEmptyStr	dag/gunbc/host_identity_access.dag	877	888
NonEmptyStr	dag/gunbc/host_identity_access.dag	3603	3614
NonEmptyStr	dag/gunbc/host_identity_access.dag	3665	3676
NonEmptyStr	dag/gunbc/host_identity_adopt.dag	162	173
NonEmptyStr	dag/gunbc/host_identity_assimilation.dag	1490	1501
NonEmptyStr	dag/gunbc/host_identity_observation.dag	117	128
NonEmptyStr	dag/gunbc/host_identity_observation.dag	201	212
NonEmptyStr	dag/gunbc/host_standup.dag	749	760
