# census_sha	89dbea7d896b3ae95195117374a8c0c9454f341e
# type	site_count	disposition=provisional_incidental_debt
PermissionBits	2
PerturbationReading	1
PhaseDisposition	3
PidStats	1
Placement	2
Plan	6
Platform	1
Power	1
ProcessExit	16
ProcessIdentity	1
ProcessNodeId	2
ProcessPortScope	1
ProcessorThermalLimits	1
Proposition	3
PsuModel	1
PublishedMockCase	22
PullRequestRef	1
PullRequestState	3
PullReview	2
QualifiedName	7
RbacPolicy	5
RealizedStep	2
RedfishAccountRole	1
RedfishBootSourceOverrideEnabled	1
RedfishBootSourceOverrideMode	1
RedfishChassisSensorCollection	1
RedfishMemorySummary	1
RedfishPowerControl	2
RedfishPowerState	1
RedfishPowerSubsystem	2
RedfishPrivilege	2
RedfishProcessorSummary	1
RedfishSensorReading	1
RedfishSystemInventory	3
ReduceVerdict	1
RenderCapability	1
ResidualSlotObservation	5
ResourceHandle	1
ReviewProvider	1
ReviewState	2
ReviewVerdict	1
RoadmapDocument	1
RoadmapItem	2
RoadmapNode	2
RotationalSpeed	1
RunnerDeploymentPlan	1
RunnerHostDeployment	1
RunnerSliceCapEffectiveness	6
RunnerSlotApplyEffect	1
RunnerSlotEnforcement	2
RunnerSlotIdentity	1
RunnerSlotLifecycle	1
RunnerUnitLiveReadRow	4
RunnerUnitMemoryLiveRead	3
RuntimeMountKind	1
RuntimeMountSource	1
RustManifestObserved	4
Scale	2
ScheduleWitnessEntry	6
Second	5
Seconds	2
SecretAccessBinding	1
SecretRef	1
SemVerConstraint	2
SemVerIdentity	2
SemVerVersion	5
SerialField	2
SerializationKnobs	3
ServerBaseboard	1
ServiceAccountEmail	5
Sixty	1
SliceMembershipSignal	5
SlotListeningObservation	3
SolConsoleContentObservation	1
SourceRootRef	8
SourceRootRole	2
SourceRootSet	1
Span	1
SshPublicKey	3
StageResult	6
StampClass	1
StorageDevice	1
StreamDisposition	4
Summary	2
SwapStats	1
Symbol	19
SystemConfig	1
SystemdCgroupMemoryLimit	5
TailscaleAclPolicy	1
TailscaleAclSelector	1
TailscaleGrant	1
TailscaleNodeAttr	1
TailscaleSshRule	1
TailscaleTagOwnerRow	1
Temperature	1
TemperatureDifference	1
TerminalEnvironment	4
TestModuleRetirement	10
Time	31
Timestamp	13
TreeFundamentalityOrder	1
TsExpr	2
TsProgram	4
UbuntuAutoinstallPayload	2
UbuntuDistributionCatalogRow	1
ValueConsumerEdge	2
ValueMaterialization	4
ValueUsage	3
Verbosity	4
VersionConstraint	1
VersionIdentity	2
Viewport	1
VirtualMediaIntent	1
Watt	12
WindowsDistributionCatalogRow	1
WorkflowRun	1
WorkflowRunList	1
YamlValue	1
extdeps.access.posix.PosixUser	2
extdeps.access.rbac.RbacPolicy	1
extdeps.docker.container_stats.MemoryStats	1
extdeps.github.actions.Job	1
extdeps.github.pulls.PullRequest	4
product.network_topology.NetworkLocality	1
std.access.AccessDecision	1
std.algebra.Ordering	1
std.approximate_field.RoundingMode	1
std.determinism.Determinism	1
std.integer.UInt8	2
std.materialization_ladder.Frame	7
std.nat.Nat	10
std.occurrence_identity.NodeOccurrenceIdentity	2
std.render.RenderFrame	2
