# Partial receipt: ctrl-build remote deadline exceeded during post-rc-str 507KB survival.
# dispatch_head=2da86e6dbc88019dd75a80f9e7d150baabbac0a0
# experiment design: one fresh process per (carrier, size), GUNBC_EVAL_MEMO=default, survival mode
# cgroup memory.peak/events: unavailable (permission denied on memory.max in remote runner)
# elapsed_ms is single parse_json call only (resolve ~33s excluded from timed region)
label	GUNBC_EVAL_MEMO	target_bytes	member_count	actual_bytes	outcome	members_found	elapsed_ms	exit_code	termination
pre-string	default	100000	8192	104277	(no row — killed before parse completed)	0		137	killed (OOM or signal)
post-rc-str	default	100000	8192	104277	parsed	8192	139517.47	0	completed
pre-string	default	200000	16384	223541	(no row — killed before parse completed)	0		137	killed (OOM or signal)
post-rc-str	default	200000	16384	223541	parsed	16384	636159.78	0	completed
pre-string	default	507000	65536	960821	(no row — killed before parse completed)	0		137	killed (OOM or signal)
post-rc-str	default	507000	65536	960821	(incomplete — remote deadline during run)			(deadline exceeded)
