consumer_file	occurrence_name	occurrence_category	provider_module	provider_declaration	declaration_count	provider_in_loaded_closure	binding_outcome	first_root_diagnostic	downstream_diagnostic_count	disposition
dag/test/claim/bmc_auth_runtime_secret_seam_test.dag	SubstrateInputsOnly	value	v2.std.live_tree	variant of LiveTreeDisposition	0	unobserved	unbound	undefined variable 'SubstrateInputsOnly'	0	C-reclassify
dag/test/claim/bmc_bootstrap_provision_witness_test.dag	SubstrateInputsOnly	value	v2.std.live_tree	variant of LiveTreeDisposition	0	unobserved	unbound	undefined variable 'SubstrateInputsOnly'	0	C-reclassify
dag/test/claim/bmc_capability_solve_witness_test.dag	SubstrateInputsOnly	value	v2.std.live_tree	variant of LiveTreeDisposition	0	unobserved	unbound	undefined variable 'SubstrateInputsOnly'	0	C-reclassify
dag/test/claim/bmc_factory_credential_witness_test.dag	SubstrateInputsOnly	value	v2.std.live_tree	variant of LiveTreeDisposition	0	unobserved	unbound	undefined variable 'SubstrateInputsOnly'	0	C-reclassify
dag/test/claim/bmc_fan_converge_witness_test.dag	SubstrateInputsOnly	value	v2.std.live_tree	variant of LiveTreeDisposition	0	unobserved	unbound	undefined variable 'SubstrateInputsOnly'	0	C-reclassify
dag/test/claim/bmc_firmware_thermal_witness_test.dag	SubstrateInputsOnly	value	v2.std.live_tree	variant of LiveTreeDisposition	0	unobserved	unbound	undefined variable 'SubstrateInputsOnly'	0	C-reclassify
dag/test/claim/bmc_live_receipts_witness_test.dag	SubstrateInputsOnly	value	v2.std.live_tree	variant of LiveTreeDisposition	0	unobserved	unbound	undefined variable 'SubstrateInputsOnly'	0	C-reclassify
dag/test/claim/bmc_onboard_body_witness_test.dag	SubstrateInputsOnly	value	v2.std.live_tree	variant of LiveTreeDisposition	0	unobserved	unbound	undefined variable 'SubstrateInputsOnly'	0	C-reclassify
dag/test/claim/bmc_onboarding_lifecycle_witness_test.dag	SubstrateInputsOnly	value	v2.std.live_tree	variant of LiveTreeDisposition	0	unobserved	unbound	undefined variable 'SubstrateInputsOnly'	0	C-reclassify
dag/test/claim/bmc_redfish_grounding_witness_test.dag	SubstrateInputsOnly	value	v2.std.live_tree	variant of LiveTreeDisposition	0	unobserved	unbound	undefined variable 'SubstrateInputsOnly'	0	C-reclassify
dag/test/claim/bmc_token_federation_witness_test.dag	SubstrateInputsOnly	value	v2.std.live_tree	variant of LiveTreeDisposition	0	unobserved	unbound	undefined variable 'SubstrateInputsOnly'	0	C-reclassify
dag/test/claim/bmc_typed_operations_witness_test.dag	SubstrateInputsOnly	value	v2.std.live_tree	variant of LiveTreeDisposition	0	unobserved	unbound	undefined variable 'SubstrateInputsOnly'	0	C-reclassify
dag/test/claim/bmc_wif_delegation_chain_witness_test.dag	SubstrateInputsOnly	value	v2.std.live_tree	variant of LiveTreeDisposition	0	unobserved	unbound	undefined variable 'SubstrateInputsOnly'	0	C-reclassify
dag/test/claim/budget_tree_witness_test.dag	SubstrateInputsOnly	value	v2.std.live_tree	variant of LiveTreeDisposition	0	unobserved	unbound	undefined variable 'SubstrateInputsOnly'	0	C-reclassify
dag/test/claim/build_cache_endpoint_path_test.dag	SubstrateInputsOnly	value	v2.std.live_tree	variant of LiveTreeDisposition	0	unobserved	unbound	undefined variable 'SubstrateInputsOnly'	0	C-reclassify
dag/test/claim/build_cache_ensure_test.dag	SubstrateInputsOnly	value	v2.std.live_tree	variant of LiveTreeDisposition	0	unobserved	unbound	undefined variable 'SubstrateInputsOnly'	0	C-reclassify
dag/test/claim/build_cache_latency_probe_witness_test.dag	SubstrateInputsOnly	value	v2.std.live_tree	variant of LiveTreeDisposition	0	unobserved	unbound	undefined variable 'SubstrateInputsOnly'	0	C-reclassify
dag/test/claim/build_cache_placement_observation_test.dag	SubstrateInputsOnly	value	v2.std.live_tree	variant of LiveTreeDisposition	0	unobserved	unbound	undefined variable 'SubstrateInputsOnly'	0	C-reclassify
dag/test/claim/build_latency_actions_collect_witness_test.dag	SubstrateInputsOnly	value	v2.std.live_tree	variant of LiveTreeDisposition	0	unobserved	unbound	undefined variable 'SubstrateInputsOnly'	0	C-reclassify
dag/test/claim/builtin_get_resolver_test.dag	SubstrateInputsOnly	value	v2.std.live_tree	variant of LiveTreeDisposition	0	unobserved	unbound	undefined variable 'SubstrateInputsOnly'	0	C-reclassify
dag/test/claim/cache_key_completeness_test.dag	SubstrateInputsOnly	value	v2.std.live_tree	variant of LiveTreeDisposition	0	unobserved	unbound	undefined variable 'SubstrateInputsOnly'	0	C-reclassify
dag/test/claim/cache_layer_planner_test.dag	SubstrateInputsOnly	value	v2.std.live_tree	variant of LiveTreeDisposition	0	unobserved	unbound	undefined variable 'SubstrateInputsOnly'	0	C-reclassify
dag/test/claim/cache_purity_verdict_test.dag	SubstrateInputsOnly	value	v2.std.live_tree	variant of LiveTreeDisposition	0	unobserved	unbound	undefined variable 'SubstrateInputsOnly'	0	C-reclassify
dag/test/claim/capability_binding_witness_test.dag	SubstrateInputsOnly	value	v2.std.live_tree	variant of LiveTreeDisposition	0	unobserved	unbound	undefined variable 'SubstrateInputsOnly'	0	C-reclassify
dag/test/claim/card_intake_risk_witness_test.dag	SubstrateInputsOnly	value	v2.std.live_tree	variant of LiveTreeDisposition	0	unobserved	unbound	undefined variable 'SubstrateInputsOnly'	0	C-reclassify
dag/test/claim/cargo_target_path_witness_test.dag	SubstrateInputsOnly	value	v2.std.live_tree	variant of LiveTreeDisposition	0	unobserved	unbound	undefined variable 'SubstrateInputsOnly'	0	C-reclassify
dag/test/claim/cargo_version_witness_test.dag	SubstrateInputsOnly	value	v2.std.live_tree	variant of LiveTreeDisposition	0	unobserved	unbound	undefined variable 'SubstrateInputsOnly'	0	C-reclassify
