entry	function	eval_ms_basis	run_ref	host_class	clock
# Basis rows cite arm64 srv-fleet run receipts only (witness_row_cost_basis_host_class_note).
# The clock column names WHICH clock eval_ms_basis was read from, so a comparison against an
# observation on a different clock refuses (BasisClockMismatch) instead of answering. Every row
# below carries wall because every one was seeded from a receipt that recorded no other clock:
# before the 2026-08-05 clock-basis ruling the seed's PerformanceReceipt held only wall_nanos,
# so wall is what these figures ARE, not a default chosen for them.
# First fleet observation establishes a row here; absence at compare time is BasisAbsent.
# Seeded from falsifier run 30550328673 (host_class=srv_fleet_arm64, runner_spec_is_self_hosted_arm64),
# whose sole failure was the silent-pick row's wall-budget refusal; every row below completed.
# resolution_divergence_silent_pick_gate_keystone_holds is DELIBERATELY ABSENT: it was killed at
# its 900000ms deadline, so its recorded 900794ms is a CENSORED measurement, not a completed one.
# Seeding it would pin the corpus's most expensive row WithinBasis below ~1.8M ms under the 2x
# comparator and enshrine a deadline ceiling as normal cost. It stays BasisAbsent - the honest
# third state - until ClaimOutcome::TimedOut distinguishes killed rows from completed ones.
# Rows observed in two batches keep the max of the two (all 3 such pairs differ by <2%).
dag/test/claim/ci_render_histogram_width_test.dag	ci_render_histogram_width_witnesses	19	30550328673	srv_fleet_arm64	wall
dag/test/claim/ci_render_slowest_hot_style_test.dag	ci_render_slowest_hot_style_holds	15	30550328673	srv_fleet_arm64	wall
dag/test/claim/ci_runner_seam_witness_test.dag	witness_ci_workflow_runner_matches_selected_target	675	30550328673	srv_fleet_arm64	wall
dag/test/claim/ci_runner_seam_witness_test.dag	witness_ci_yaml_runs_on_projects_selected_labels	46	30550328673	srv_fleet_arm64	wall
dag/test/claim/ci_yaml_serializer_witness_test.dag	witness_cache_key_plain_not_quoted	738	30550328673	srv_fleet_arm64	wall
dag/test/claim/ci_yaml_serializer_witness_test.dag	witness_jobs_yaml_serializes	35	30550328673	srv_fleet_arm64	wall
dag/test/claim/ci_yaml_serializer_witness_test.dag	witness_steps_wrapped_serializes	4	30550328673	srv_fleet_arm64	wall
dag/test/claim/claim_indexed_evidence_witness_test.dag	witness_kvm_login_prompt_does_not_invent_completed_install	2	30550328673	srv_fleet_arm64	wall
dag/test/claim/claim_indexed_evidence_witness_test.dag	witness_login_status_does_not_promote_provider_readiness	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/claim_indexed_evidence_witness_test.dag	witness_source_capture_does_not_invent_admission	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/code_change_workflow_witness_test.dag	code_change_workflow_witnesses	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/commit_check_demand_witness_test.dag	commit_check_demand_absent_named_declaration_is_missing	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/commit_check_demand_witness_test.dag	commit_check_demand_all_six_file_grain_rows_expand_complete_discoveries	26	30550328673	srv_fleet_arm64	wall
dag/test/claim/commit_check_demand_witness_test.dag	commit_check_demand_canonical_roster_refuses_empty_or_truncated_discovery	28	30550328673	srv_fleet_arm64	wall
dag/test/claim/commit_check_demand_witness_test.dag	commit_check_demand_duplicate_module_is_ambiguous	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/commit_check_demand_witness_test.dag	commit_check_demand_live_roster_is_exactly_58_typed_rows	2	30550328673	srv_fleet_arm64	wall
dag/test/claim/commit_check_demand_witness_test.dag	commit_check_demand_named_multi_function_is_exact_and_permutation_invariant	2	30550328673	srv_fleet_arm64	wall
dag/test/claim/commit_check_demand_witness_test.dag	commit_check_demand_overlapping_output_membership_is_ambiguous	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/commit_check_demand_witness_test.dag	commit_check_demand_roster_and_expansion_set_equality_has_teeth	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/commit_witness_claim_roster_witness_test.dag	commit_witness_claim_roster_red_control_holds	38	30550328673	srv_fleet_arm64	wall
dag/test/claim/commit_workflow_witness_test.dag	witness_ci_spec_projects_from_roster	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/commit_workflow_witness_test.dag	witness_floor_roster_has_no_slow_long_lane_entries	2	30550328673	srv_fleet_arm64	wall
dag/test/claim/component_dispatch_button_witness_test.dag	witness_dispatch_button_states_total_over_wire	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/component_dispatch_button_witness_test.dag	witness_scale_well_formed	3	30550328673	srv_fleet_arm64	wall
dag/test/claim/computation_demand_duplication_witness_test.dag	replicated_oracle_pair_is_declared_and_admissible	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/dag_compile_clean_scope_witness_test.dag	dag_compile_clean_scope_all_disposition_rows_hold	17	30550328673	srv_fleet_arm64	wall
dag/test/claim/dag_compile_clean_scope_witness_test.dag	dag_compile_clean_scope_empty_touched_requires_whole_tree_holds	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/dag_compile_clean_seam_witness_test.dag	cross_shard_seam_preservation_holds_on_live_tree	237262	30550328673	srv_fleet_arm64	wall
dag/test/claim/dag_compile_clean_shard_totality_witness_test.dag	compile_clean_shard_totality_holds_on_live_tree	23176	30550328673	srv_fleet_arm64	wall
dag/test/claim/deploy_mutation_gate_witness_test.dag	witness_right_host_privileged_gate_permits	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/deploy_mutation_gate_witness_test.dag	witness_right_host_privileged_may_apply	9	30550328673	srv_fleet_arm64	wall
dag/test/claim/design_argument_witness_test.dag	cycle_is_detected	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/design_argument_witness_test.dag	design_full_argument_form_is_valid	2	30550328673	srv_fleet_arm64	wall
dag/test/claim/design_argument_witness_test.dag	design_s1_argument_form_is_valid	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/design_palette_witness_test.dag	witness_authored_set_has_no_text_pairing	11	30550328673	srv_fleet_arm64	wall
dag/test/claim/design_palette_witness_test.dag	witness_catalog_admissible	2	30550328673	srv_fleet_arm64	wall
dag/test/claim/design_palette_witness_test.dag	witness_graduated_default_clears_text_aa	15	30550328673	srv_fleet_arm64	wall
dag/test/claim/design_palette_witness_test.dag	witness_in_family_inks_carry_their_fills	4	30550328673	srv_fleet_arm64	wall
dag/test/claim/design_palette_witness_test.dag	witness_loam_carries_text_capability	2	30550328673	srv_fleet_arm64	wall
dag/test/claim/design_palette_witness_test.dag	witness_pressed_stop_derivation_and_legibility	6	30550328673	srv_fleet_arm64	wall
dag/test/claim/design_palette_witness_test.dag	witness_solarized_base_ladder_order_and_count	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/design_palette_witness_test.dag	witness_venom_carries_ivory_text_and_refuses_loam	2	30550328673	srv_fleet_arm64	wall
dag/test/claim/design_register_lift_parity_witness_test.dag	witness_accent_study_html_digest_pinned	15	30550328673	srv_fleet_arm64	wall
dag/test/claim/design_register_lift_parity_witness_test.dag	witness_moodboard_css_digest_pinned	10	30550328673	srv_fleet_arm64	wall
dag/test/claim/design_register_lift_parity_witness_test.dag	witness_moodboard_html_digest_pinned	30	30550328673	srv_fleet_arm64	wall
dag/test/claim/design_register_lift_parity_witness_test.dag	witness_roadmap_css_digest_pinned	84	30550328673	srv_fleet_arm64	wall
dag/test/claim/dispatch_attempts_witness_test.dag	attempts_client_renders_and_shouts	42	30550328673	srv_fleet_arm64	wall
dag/test/claim/dispatch_attempts_witness_test.dag	attempts_multi_line_output_parses	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/dispatch_attempts_witness_test.dag	attempts_observed_projects_to_wire	2	30550328673	srv_fleet_arm64	wall
dag/test/claim/dispatch_attempts_witness_test.dag	attempts_row_is_styled	88	30550328673	srv_fleet_arm64	wall
dag/test/claim/dispatch_attempts_witness_test.dag	belt_attempt_grain_holds	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/dispatch_presentation_witness_test.dag	witness_chip_material_is_band_paint	90	30550328673	srv_fleet_arm64	wall
dag/test/claim/dispatch_presentation_witness_test.dag	witness_dispatch_receipt_is_provider_agnostic	39	30550328673	srv_fleet_arm64	wall
dag/test/claim/dispatch_stop_witness_test.dag	cleanup_separates_running_process_from_retained_session	4	30550328673	srv_fleet_arm64	wall
dag/test/claim/dispatch_stop_witness_test.dag	dashboard_instance_stop_contract_keystone_holds	132	30550328673	srv_fleet_arm64	wall
dag/test/claim/doc_reachability_witness_test.dag	doc_graph_hand_authored_slugs_not_registered	49	30550328673	srv_fleet_arm64	wall
dag/test/claim/doc_reachability_witness_test.dag	doc_graph_has_no_dangling_links	7	30550328673	srv_fleet_arm64	wall
dag/test/claim/doc_reachability_witness_test.dag	doc_graph_has_no_orphan_docs	10	30550328673	srv_fleet_arm64	wall
dag/test/claim/domain_name_parse_witness_test.dag	domain_name_parse_case_fold_equality	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/domain_name_parse_witness_test.dag	domain_name_parse_fqdn_srv1_tailnet	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/domain_name_parse_witness_test.dag	domain_name_parse_rejects_label_too_long	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/econ_wedge_witness_test.dag	w_github_hetzner_knowable_wedge_derived_with_declared_assumptions	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/effects_witness_test.dag	effects_derivation_witnesses	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/effects_witness_test.dag	effects_modifier_gcp_sites_witnesses	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/emit_host_gate_verdicts_test.dag	gate_failure_exit_reason_carries_verdicts	2	30550328673	srv_fleet_arm64	wall
dag/test/claim/expectation_frontier_witness_test.dag	fully_declared_effects_emit_no_frontier_receipt_holds	110078	30550328673	srv_fleet_arm64	wall
dag/test/claim/expectation_frontier_witness_test.dag	undeclared_effects_emit_the_frontier_receipt_holds	150229	30550328673	srv_fleet_arm64	wall
dag/test/claim/extdeps_llm_claude_trust_witness_test.dag	w_array_value_then_real_key_accepts	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/extdeps_llm_claude_trust_witness_test.dag	w_enriched_entry_with_nested_object_and_brace_in_string_accepts	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/extdeps_llm_claude_trust_witness_test.dag	w_flag_true_on_other_key_refuses	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/falsifier_workflow_witness_test.dag	falsifier_concurrency_queues_not_cancels	244	30550328673	srv_fleet_arm64	wall
dag/test/claim/falsifier_workflow_witness_test.dag	falsifier_yaml_projection_evaluates	18	30550328673	srv_fleet_arm64	wall
dag/test/claim/falsifier_workflow_witness_test.dag	selection_control_enrolled_exactly_once_on_falsifier_and_never_on_ci	507	30550328673	srv_fleet_arm64	wall
dag/test/claim/falsifier_workflow_witness_test.dag	selection_control_rides_falsifier_not_per_pr_ci	54	30550328673	srv_fleet_arm64	wall
dag/test/claim/fleet_converge_apply_witness_test.dag	witness_converge_apply_fail_closed_on_knob_frontier	2	30550328673	srv_fleet_arm64	wall
dag/test/claim/fleet_converge_cli_witness_test.dag	witness_converge_cli_output_projects_receipt_and_exit_signal	8	30550328673	srv_fleet_arm64	wall
dag/test/claim/fleet_converge_cli_witness_test.dag	witness_converge_cli_refusal_causes_discriminate	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/fleet_show_effective_read_witness_test.dag	witness_show_property_injection_metachar_refused	8	30550328673	srv_fleet_arm64	wall
dag/test/claim/floor_materialization_witness_test.dag	floor_index_build_has_plural_readers	3	30550328673	srv_fleet_arm64	wall
dag/test/claim/floor_materialization_witness_test.dag	floor_index_build_reds_without_reference_provider	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/floor_skip_discovery_witness_test.dag	floor_skip_discovery_keystone_holds	644282	30550328673	srv_fleet_arm64	wall
dag/test/claim/generated_artifact_drift_test.dag	witness_all_known_committed	69	30550328673	srv_fleet_arm64	wall
dag/test/claim/long/generated_artifact_drift_fixed_point_witness_test.dag	witness_committed_fixed_point_red_control	717	30550328673	srv_fleet_arm64	wall
dag/test/claim/long/generated_artifact_drift_fixed_point_witness_test.dag	witness_committed_is_fixed_point	1005	30550328673	srv_fleet_arm64	wall
dag/test/claim/generated_artifact_drift_test.dag	witness_extra_validation_wired	128	30550328673	srv_fleet_arm64	wall
dag/test/claim/generated_artifact_drift_test.dag	witness_ignored_paths_excluded	3	30550328673	srv_fleet_arm64	wall
dag/test/claim/generated_artifact_drift_test.dag	witness_per_artifact_red_receipts	2	30550328673	srv_fleet_arm64	wall
dag/test/claim/generated_artifact_drift_test.dag	witness_registry_complete	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/gha_expression_roundtrip_test.dag	witness_core_advertised_lossless	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/gha_job_projection_witness_test.dag	absent_job_fields_emit_no_key	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/gha_job_projection_witness_test.dag	every_populated_job_field_reaches_the_emitted_yaml	3	30550328673	srv_fleet_arm64	wall
dag/test/claim/gha_job_projection_witness_test.dag	queue_max_and_queue_not_max_no_longer_serialize_identically	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/git_upstream_model_witness_test.dag	witness_git_annotated_tag_remains_a_tag_object	12	30550328673	srv_fleet_arm64	wall
dag/test/claim/git_upstream_model_witness_test.dag	witness_git_bounded_fixture_projects_declared_fragment	3	30550328673	srv_fleet_arm64	wall
dag/test/claim/git_upstream_model_witness_test.dag	witness_git_index_path_preserves_component_boundaries	3	30550328673	srv_fleet_arm64	wall
dag/test/claim/git_upstream_model_witness_test.dag	witness_git_ls_files_stage_z_observes_mode_identity_stage_and_raw_path	2	30550328673	srv_fleet_arm64	wall
dag/test/claim/git_upstream_model_witness_test.dag	witness_git_ls_tree_z_preserves_non_utf8_path_octets	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/git_upstream_model_witness_test.dag	witness_git_ls_tree_z_wire_decodes_into_mode_path_and_identity_rows	10	30550328673	srv_fleet_arm64	wall
dag/test/claim/githooks_pre_push_emit_test.dag	witness_fmt_is_the_body	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/githooks_pre_push_plan_test.dag	githooks_pre_push_plan_witnesses	2	30550328673	srv_fleet_arm64	wall
dag/test/claim/gitignore_gate_test.dag	witness_clean_does_not_drift	60	30550328673	srv_fleet_arm64	wall
dag/test/claim/gitlab_10k_income_series_witness_test.dag	w_all_seven_years_cross_foot	3	30550328673	srv_fleet_arm64	wall
dag/test/claim/grounded_principal_witness_test.dag	witness_ci_runner_grounded_access_gate_permits	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/grounded_principal_witness_test.dag	witness_declared_probe_names_principal	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/grounded_principal_witness_test.dag	witness_deploy_preflight_plan_first_step_reads_principal	2	30550328673	srv_fleet_arm64	wall
dag/test/claim/gunbc_invoke_witness_test.dag	gunbc_invoke_deploy_matches_pre_migration_golden_holds	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/gunbc_invoke_witness_test.dag	gunbc_invoke_scheduler_matches_modeled_shell_holds	3	30550328673	srv_fleet_arm64	wall
dag/test/claim/gunbc_invoke_witness_test.dag	gunbc_invoke_verify_artifacts_shell_nonempty_holds	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/gunbhub_react_browse_witness_test.dag	gunbhub_browse_keystone_holds	3	30550328673	srv_fleet_arm64	wall
dag/test/claim/gunbhub_serve_witness_test.dag	gunbhub_serve_keystone_holds	6	30550328673	srv_fleet_arm64	wall
dag/test/claim/hardware_selection_witness_test.dag	derived_ratios_are_computed	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/hardware_selection_witness_test.dag	front_keeps_tradeoffs_strips_dominated	2	30550328673	srv_fleet_arm64	wall
dag/test/claim/host_axis_caps_witness_test.dag	caps_foreign_occupant_refuses_never_deletes	3	30550328673	srv_fleet_arm64	wall
dag/test/claim/host_build_cache_provision_design_witness_test.dag	design_witness_absent_daemon_fail_closed	2	30550328673	srv_fleet_arm64	wall
dag/test/claim/host_build_cache_provision_design_witness_test.dag	design_witness_install_is_cited_not_package_manager	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/host_converge_delta_witness_test.dag	witness_already_applied_is_noop	4	30550328673	srv_fleet_arm64	wall
dag/test/claim/host_converge_delta_witness_test.dag	witness_drifted_knob_is_conflict	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/host_converge_slice1_witness_test.dag	witness_enumerate_units_uses_typed_list_units_op	2	30550328673	srv_fleet_arm64	wall
dag/test/claim/host_converge_slice1_witness_test.dag	witness_fixture_infinity_drifts_against_model_desired	7	30550328673	srv_fleet_arm64	wall
dag/test/claim/host_converge_slice1_witness_test.dag	witness_transport_reads_use_show_property_authority	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/host_effect_plan_witness_test.dag	witness_control_flow_step_refuses_fail_closed	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/host_identity_observation_witness_test.dag	witness_adopt_receipt_materializes_fixture_observation	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/host_identity_observation_witness_test.dag	witness_conflict_plan_has_no_effect_script_structural_no_shell	3	30550328673	srv_fleet_arm64	wall
dag/test/claim/host_identity_observation_witness_test.dag	witness_host_effect_apply_failure_is_not_observation	5	30550328673	srv_fleet_arm64	wall
dag/test/claim/host_identity_observation_witness_test.dag	witness_hostname_read_argv_is_typed_not_concat	2	30550328673	srv_fleet_arm64	wall
dag/test/claim/host_identity_observation_witness_test.dag	witness_hostname_set_argv_is_typed_not_concat	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/host_identity_observation_witness_test.dag	witness_hostname_set_cas_refuses_base_mismatch	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/host_network_diagnosis_witness_test.dag	host_network_diagnosis_witnesses	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/host_phase_status_witness_test.dag	witness_live_observation_frontier_is_one_cell	32	30550328673	srv_fleet_arm64	wall
dag/test/claim/host_phase_status_witness_test.dag	witness_reconcile_covers_upsert_teardown_and_noop	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/host_phase_status_witness_test.dag	witness_remaining_work_counts_every_unfinished_cell	36	30550328673	srv_fleet_arm64	wall
dag/test/claim/host_standup_assimilation_deduction_witness_test.dag	host_identity_converge_step_stays_modeled_not_gap	22	30550328673	srv_fleet_arm64	wall
dag/test/claim/host_standup_assimilation_deduction_witness_test.dag	no_lease_past_budget_is_drifted_not_fabricated_success	3	30550328673	srv_fleet_arm64	wall
dag/test/claim/host_standup_assimilation_deduction_witness_test.dag	post_install_lease_row_deduces_converged_noop	5	30550328673	srv_fleet_arm64	wall
dag/test/claim/host_standup_spine_witness_test.dag	declared_gap_steps_carry_interim_realization_authority	23	30550328673	srv_fleet_arm64	wall
dag/test/claim/host_standup_spine_witness_test.dag	host_standup_fleet_converge_policy_is_derived_or_unsound	6	30550328673	srv_fleet_arm64	wall
dag/test/claim/host_standup_spine_witness_test.dag	post_install_dhcp_subsumption_reduces_gap_count_by_one	9	30550328673	srv_fleet_arm64	wall
dag/test/claim/html_roundtrip_test.dag	witness_frontier_not_roundtripped	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/html_roundtrip_test.dag	witness_roundtrip_core	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/http_serve_route_witness_test.dag	witness_forward_backward_agreement	3	30550328673	srv_fleet_arm64	wall
dag/test/claim/js_site_emit_test.dag	witness_about_html_emit	2	30550328673	srv_fleet_arm64	wall
dag/test/claim/js_site_emit_test.dag	witness_browse_html_emit	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/js_site_emit_test.dag	witness_committed_about_html	14	30550328673	srv_fleet_arm64	wall
dag/test/claim/json_emit_witness_test.dag	witness_int_list_helper	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/json_emit_witness_test.dag	witness_json_int_lexeme_always_valid	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/json_emit_witness_test.dag	witness_json_text_parse_agrees_with_lexeme_surface_on_exponents	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/keyed_delta_fold_witness_test.dag	witness_added_hunk	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/live_deploy/apply_witness_test.dag	witness_digest_readback_script_is_bounded_and_post_mutation	530	30550328673	srv_fleet_arm64	wall
dag/test/claim/live_deploy/emit_test.dag	witness_apply_emits_no_embedded_preflight_and_only_sudoers	134	30550328673	srv_fleet_arm64	wall
dag/test/claim/live_deploy/emit_test.dag	witness_dependency_ensure_is_idempotent	5	30550328673	srv_fleet_arm64	wall
dag/test/claim/live_deploy/emit_test.dag	witness_deploy_access_job_principal_refused_poison_golden_independent	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/live_deploy/emit_test.dag	witness_retract_owned_only	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/live_deploy/emit_test.dag	witness_retract_owned_process_removes_serve_service	40	30550328673	srv_fleet_arm64	wall
dag/test/claim/live_deploy/intent_witness_test.dag	witness_readback_requires_service_ready_gate	4	30550328673	srv_fleet_arm64	wall
dag/test/claim/live_deploy/operations_witness_test.dag	witness_apt_install_argv_matches_transport_row	5	30550328673	srv_fleet_arm64	wall
dag/test/claim/live_deploy/readiness_witness_test.dag	witness_bounded_poll_early_exit_on_grounded_read	799	30550328673	srv_fleet_arm64	wall
dag/test/claim/live_deploy/readiness_witness_test.dag	witness_bounded_poll_one_iteration_composes_probe_and_modeled_sleep	10	30550328673	srv_fleet_arm64	wall
dag/test/claim/live_deploy/readiness_witness_test.dag	witness_healthz_malformed_extension_not_groundable	4	30550328673	srv_fleet_arm64	wall
dag/test/claim/live_deploy/readiness_witness_test.dag	witness_stale_surface_read_does_not_ground	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/live_deploy/readiness_witness_test.dag	witness_transport_get_probe_over_ssh_does_not_ground_mock_stdout	2	30550328673	srv_fleet_arm64	wall
dag/test/claim/long/dag_compile_clean_perturb_corpus_witness_test.dag	perturb_cross_tree_import_corpus_green_holds	78131	30550328673	srv_fleet_arm64	wall
dag/test/claim/long/dag_compile_clean_perturb_corpus_witness_test.dag	perturb_dag_shell_primary_corpus_green_holds	70281	30550328673	srv_fleet_arm64	wall
dag/test/claim/machine_shape_catalog_integration_witness_test.dag	w_cpu_cache_levels_integrated_into_memory_shape	1	30550328673	srv_fleet_arm64	wall
