root	modules_present	manifestations_summed_DO_NOT_RANK	distinct_sites_strict	distinct_sites_loose	shared_sites_loose	unique_sites_loose	max_breadth	codes
ABSENT_CLONE_BOUND	13	129	31	22	20	2	13	E0277,E0308,E0599
MAP_CARRIER_FORK	9	120	26	18	18	0	9	E0308,E0560
PRIMITIVE_REPR_FORK	8	104	25	4	4	0	8	E0308,E0369
SHIM_CLOSURE_GAP_instrument	4	97	62	37	12	25	4	E0432,E0433
UNCLASSIFIED	15	1259	454	217	151	66	15	E0004,E0061,E0071,E0223,E0277,E0282,E0308,E0310,E0369,E0392,E0425,E0432,E0433,E0533,E0599,E0608,E0609,E0614,E0631,E0728
