module	function	elapsed_ms	warn_ms	ceiling_ms
v2.test.execution.emit_host_classical_not_ingested_equals_eval	ingested_classical_not_staging_swapped_emit_refuses_underived_holds	1554	100	1552
v2.test.execution.emit_host_produced_module_equals_eval	emit_host_produced_module_add_equals_eval_holds	1554	100	1552
v2.test.execution.emit_host_produced_module_equals_eval	emit_host_produced_module_wrong_oracle_refuses_holds	1554	100	1552
v2.test.execution.loop_eval_by_execution	loop_census_ingested_executes_holds	1554	100	1552
v2.test.execution.pick_ingested_probe	pick_probe_eval_equals_holds	1554	100	1552
v2.test.execution.pick_ingested_probe	pick_probe_parsed_then_arm_has_magnitude_child_holds	1554	100	1552
v2.test.execution.pick_ingested_probe	pick_probe_resolved_else_arm_has_magnitude_child_holds	1554	100	1552
v2.test.execution.pick_ingested_structural_lowering	pick2_ingested_pick_false_executes_holds	1554	100	1552
v2.test.execution.pick_ingested_structural_lowering	pick2_ingested_swapped_arms_red_holds	1554	100	1552
v2.test.execution.pick_ingested_structural_lowering	pick_ingested_pick_false_executes_holds	1554	100	1552
v2.test.execution.pick_ingested_structural_lowering	pick_ingested_pick_true_executes_holds	1554	100	1552
v2.test.execution.pick_ingested_structural_lowering	pick_ingested_pipeline_resolves_holds	1554	100	1552
gunbc.test.claim.dag_arrow_lambda_witness_test	witness_authored_algebra_shape_parses	1553	100	1552
gunbc.test.claim.dag_arrow_lambda_witness_test	witness_lambda_block_body_parses	1553	100	1552
gunbc.test.claim.dag_arrow_lambda_witness_test	witness_match_arm_fat_arrow_unchanged	1553	100	1552
gunbc.test.claim.dag_arrow_lambda_witness_test	witness_missing_body_refuses_RED	1553	100	1552
gunbc.test.claim.dag_arrow_lambda_witness_test	witness_single_paren_param_refuses_RED	1553	100	1552
gunbc.test.claim.dag_arrow_lambda_witness_test	witness_zero_param_refuses_RED	1553	100	1552
gunbc.test.claim.namespace_graft_body_dissolution_witness_test	witness_type_fn_module_dissolution_refuses_RED	1553	100	1552
gunbc.test.claim.namespace_graft_body_dissolution_witness_test	witness_type_only_module_dissolution_refuses_RED	1553	100	1552
gunbc.test.claim.realization_sweep_test	witness_sweep_rows_join_planted_roster_exactly_once	1553	100	1552
test.claim.roadmap_page_witness	witness_dispatch_button_carries_accent	1553	100	1552
test.claim.roadmap_page_witness	witness_style_child_combinator_unescaped	1553	100	1552
v2.test.claim.identity_captured_navigation.roster_gate	green_control_sanctioned_reader_body_not_flagged	1553	100	1552
v2.test.execution.add_arrow_eval_by_execution	add_arrow_eval_parse_holds	1553	100	1552
v2.test.execution.add_arrow_eval_by_execution	add_arrow_eval_resolve_holds	1553	100	1552
v2.test.execution.emit_host_classical_not_ingested_equals_eval	ingested_classical_not_arrow_has_match_holds	1553	100	1552
v2.test.execution.emit_host_classical_not_ingested_equals_eval	ingested_classical_not_eval_subgraph_canonical_octet_zero_holds	1553	100	1552
v2.test.execution.emit_host_classical_not_ingested_equals_eval	ingested_classical_not_real_infer_holds	1553	100	1552
v2.test.execution.emit_host_classical_not_ingested_equals_eval	ingested_classical_not_resolves_holds	1553	100	1552
v2.test.execution.emit_host_native_only_verdict	emit_host_native_only_classical_not_swapped_mismatch_detected_holds	1553	100	1552
v2.test.execution.emit_host_produced_module_equals_eval	produced_module_two_distinct_fns_assemble	1553	100	1552
v2.test.execution.loop_eval_by_execution	loop_census_ingested_wrong_value_red_holds	1553	100	1552
v2.test.execution.pick_ingested_probe	pick_probe_normalized_branch_holds	1553	100	1552
v2.test.execution.pick_ingested_probe	pick_probe_normalized_then_arm_has_magnitude_child_holds	1553	100	1552
v2.test.execution.pick_ingested_probe	pick_probe_pipeline_resolves_holds	1553	100	1552
v2.test.execution.pick_ingested_probe	pick_probe_swapped_arms_structural_red_holds	1553	100	1552
v2.test.execution.pick_ingested_structural_lowering	pick_ingested_normalized_swapped_arms_structural_red_holds	1553	100	1552
v2.test.execution.pick_ingested_structural_lowering	pick_ingested_parsed_module_from_source_holds	1553	100	1552
v2.test.execution.pick_ingested_structural_lowering	pick_ingested_swapped_arms_red_holds	1553	100	1552
test.claim.where_refinement_enforcement_witness	where_refinement_cast_literal_oci_other_digest_algorithm_accepts	1385	100	1552
test.claim.transport_script_wall_compile_red	wall_red_string_join_into_retained_record_refuses	1348	100	1552
test.claim.transport_script_wall_compile_red	wall_red_deleted_free_minter_refuses	1308	100	1552
test.claim.roadmap_static_site_witness	witness_healthz_route_json_ok	1247	100	1552
test.claim.roadmap_site_surface_readiness	witness_roadmap_site_surface_readiness_materialized_batch_holds	1231	100	1552
test.claim.roadmap_static_site_witness	witness_roadmap_route_is_plain_text	1212	100	1552
test.claim.occurrence_identity_witness_test	occurrence_identity_typed_ordinal_boundary_refuses_raw_scalar_holds	1210	100	1552
test.claim.roadmap_static_site_witness	witness_text_routes_include_health_and_artifacts	1210	100	1552
test.claim.live_deploy.running_release_identity_witness_test	witness_surface_projection_ignores_identity_members	1202	100	1552
test.claim.live_deploy.running_release_identity_witness_test	witness_absent_identity_is_typed_absent_not_unparseable	1197	100	1552
test.claim.live_deploy.running_release_identity_witness_test	witness_correct_identity_with_one_stale_artifact_refuses	1197	100	1552
test.claim.live_deploy.running_release_identity_witness_test	witness_body_without_release_identity_refuses	1195	100	1552
test.claim.live_deploy.running_release_identity_witness_test	witness_third_candidate_still_sees_launched_revision	1195	100	1552
test.claim.live_deploy.running_release_identity_witness_test	witness_matching_release_and_surface_grounds	1193	100	1552
test.claim.live_deploy.running_release_identity_witness_test	witness_identity_round_trips_from_served_body	1192	100	1552
test.claim.live_deploy.readiness	witness_bounded_poll_early_exit_on_grounded_read	1191	100	1552
test.claim.live_deploy.running_release_identity_witness_test	witness_correct_artifacts_with_wrong_bundle_identity_refuses	1189	100	1552
test.claim.live_deploy.running_release_identity_witness_test	witness_readiness_refuses_when_reported_revision_is_not_the_admitted_one	1185	100	1552
test.claim.live_deploy.readiness	witness_transport_get_probe_over_ssh_does_not_ground_mock_stdout	1183	100	1552
test.claim.live_deploy.readiness	witness_accept_no_response_probe_fails_fast_not_hangs	1181	100	1552
test.claim.live_deploy.readiness	witness_bounded_poll_one_iteration_composes_probe_and_modeled_sleep	1172	100	1552
test.claim.live_deploy.readiness	witness_ssh_mock_stdout_is_discriminating_red	1171	100	1552
test.claim.live_deploy.emit	twin_and_production_configure_disjoint_tailscale_endpoints	1037	100	1552
test.claim.roadmap_row_witness	roadmap_row_page_carries_the_cells	1018	100	1552
test.claim.roadmap_tactile_witness	witness_sound_toggle_label_is_painted_by_the_program_not_the_markup	996	100	1552
v2.test.lens_inert_carrier.inert_carrier_test	inert_carrier_no_unrostered_or_stale	971	100	1552
test.claim.roadmap_authority	witness_projection_is_active_only	950	100	1552
test.claim.roadmap_page_witness	witness_daily_leads_operational_not_narrative	939	100	1552
test.claim.roadmap_frontier_witness	witness_authority_daily_workspace_serializes	927	100	1552
v2.test.lens_testgen.shadow_ci_receipt	lens_testgen_shadow_ci_run_receipt_holds	867	100	1552
v2.test.lens_testgen.generator_provenance	lens_testgen_scheduled_generators_carry_provenance_holds	845	100	1552
test.claim.root4_measure_missing_generics_witness	root4_measure_missing_generics_witness_holds	825	100	1552
test.claim.dissolution_census_witness_test	unbound_dissolution_nonempty_literal_accepts	771	100	1552
v2.test.execution.emit_host_field_access_equals_eval	emit_host_field_access_equals_eval_holds	755	100	1552
test.claim.live_deploy.emit	witness_scripts_stay_within_ci_runner_grants	748	100	1552
test.claim.emitter_optional_payload_cast_witness_test	optional_payload_cast_lowers_to_some	718	100	1552
test.claim.roadmap_authority	witness_rendered_nodes_are_declared_or_derived	715	100	1552
test.claim.emitter_nested_refinement_cast_witness_test	single_refinement_carrier_emits_no_unsupported_cast	709	100	1552
test.claim.emitter_optional_payload_cast_witness_test	plain_return_with_cast_lowers_to_some	709	100	1552
test.claim.emitter_optional_payload_cast_witness_test	user_enum_cast_payload_keeps_variant_name	702	100	1552
test.claim.roadmap_authority	witness_ghost_node_outside_authority_is_counted	699	100	1552
test.claim.emitter_nested_refinement_cast_witness_test	nested_refinement_carrier_deficit_remains_observable	698	100	1552
test.claim.emitter_optional_payload_cast_witness_test	hoisted_cast_lowers_to_some	698	100	1552
test.claim.emitter_optional_payload_cast_witness_test	user_defined_present_inside_optional_returning_fn_is_unaffected	698	100	1552
test.claim.emitter_optional_payload_cast_witness_test	user_defined_present_variant_is_unaffected	698	100	1552
test.claim.emitter_optional_payload_cast_witness_test	refined_return_without_cast_lowers_to_some	695	100	1552
test.claim.emitter_optional_present_branded_scalar_witness_test	present_branded_scalar_cast_emits_some_not_optional_string	693	100	1552
test.claim.emitted_lib_rs_module_declaration_witness_test	partial_crate_declares_macro_provider_before_ordinary_modules	690	100	1552
test.claim.emitted_lib_rs_module_declaration_witness_test	small_crate_lib_rs_declares_its_own_emitted_module	689	100	1552
test.claim.emitted_lib_rs_module_declaration_witness_test	small_crate_lib_rs_omits_unemitted_dispatch_module	688	100	1552
test.claim.roadmap_authority	witness_altered_copy_of_declared_node_is_counted	683	100	1552
test.claim.altra_contact_map_witness	w_differential_pairs_are_complete_in_the_ingested_map	676	100	1552
v2.test.claim.rust_crate_partition_witness	witness_partition_r4_valid_on_interim_holds	669	100	1552
v2.test.claim.compilation_unit_witness	declared_fields_only_is_the_accepted_control	653	100	1552
test.claim.roadmap_sandbox_witness	witness_family_fixture_frame_occurrences_exact	648	100	1552
test.claim.altra_contact_map_witness	w_ingested_contact_map_admits_at_declared_population	647	100	1552
test.claim.e0308_mechanical_trio_test	red_planted_optional_return_refuses_unit_witness	643	100	1552
test.claim.where_refinement_enforcement_witness	where_refinement_cast_literal_lower_hex_16_accepts	641	100	1552
test.claim.where_refinement_enforcement_witness	where_refinement_cast_literal_lower_hex_64_accepts	639	100	1552
test.claim.e0308_mechanical_trio_test	red_skip_first_option_cloned_tail_is_absent	636	100	1552
test.claim.where_refinement_enforcement_witness	where_refinement_non_empty_string_literal_accepts	629	100	1552
test.claim.where_refinement_enforcement_witness	where_refinement_range_non_literal_compile_clean	629	100	1552
test.claim.where_refinement_enforcement_witness	where_refinement_cast_literal_lower_hex_40_accepts	626	100	1552
test.claim.e0308_mechanical_trio_test	list_slice_emits_usize_range_bounds	620	100	1552
test.claim.e0308_mechanical_trio_test	skip_first_emits_iter_skip_next	618	100	1552
test.claim.e0308_mechanical_trio_test	string_length_call_borrows_string_arg	617	100	1552
test.claim.e0308_mechanical_trio_test	unit_return_discards_optional_tail	615	100	1552
test.claim.e0308_mechanical_trio_test	red_skip_first_direct_index_is_absent	614	100	1552
test.claim.compute_board_readiness_witness	w_altra_contact_map_is_published_and_lands_in_design_family	606	100	1552
test.claim.e0308_mechanical_trio_test	red_string_length_unborrowed_arg_is_absent	605	100	1552
test.claim.e0308_mechanical_trio_test	red_list_slice_bare_integer_range_is_absent	601	100	1552
test.claim.altra_contact_map_witness	w_classified_population_cross_foots_pin_summary	596	100	1552
test.claim.qualified_declaration_reference_emit_cross_module_witness	cross_module_qualified_reference_emits_call_from_correct_module	586	100	1552
test.claim.qualified_leaf_registry_collision_emit_witness_test	cross_kind_fn_data_emits_fn_item_a_first	577	100	1552
test.claim.roadmap_static_site_witness	witness_site_artifact_model_populated	577	100	1552
test.claim.qualified_leaf_registry_collision_emit_witness_test	cross_kind_fn_data_emits_fn_item_b_first	576	100	1552
test.claim.qualified_leaf_registry_collision_emit_witness_test	cross_kind_data_fn_emits_data_call_suffix_a_first	575	100	1552
test.claim.roadmap_static_site_witness	witness_artifact_digests_are_content_hashes	575	100	1552
test.claim.qualified_leaf_registry_collision_emit_witness_test	cross_kind_data_fn_emits_data_call_suffix_b_first	572	100	1552
test.claim.qualified_leaf_registry_collision_emit_witness_test	cross_module_same_leaf_emits_qualifier_module_not_registry_winner	572	100	1552
test.claim.roadmap_static_site_witness	witness_readback_script_curls_are_wall_clock_bounded	571	100	1552
test.claim.live_deploy.emit	witness_blue_and_green_retirement_both_preserve_reusable_dispatch_state	570	100	1552
test.claim.pipeline_transport_emit_rest_shell_witness	rest_emit_post_with_auth_source	570	100	1552
test.claim.structured_application_mismatch_wall_witness	structured_single_authority_at_mechanism_field_accepts	567	100	1552
test.claim.live_deploy.emit	retract_is_not_emitted_without_an_observed_scoped_removal	566	100	1552
test.claim.roadmap_forecast_witness	witness_live_graph_refusal_is_only_calibration	566	100	1552
test.claim.roadmap_static_site_witness	witness_readback_script_checks_health_and_digests	566	100	1552
test.claim.live_deploy.emit	witness_retract_owned_process_removes_serve_service	564	100	1552
test.claim.live_deploy.emit	witness_retract_script_owned_only	564	100	1552
test.claim.live_deploy.emit	emitted_twin_retract_removes_nothing_of_productions	563	100	1552
test.claim.live_deploy.emit	witness_retract_preamble_acknowledges_shared_sudoers_install	563	100	1552
test.claim.optional_carrier_signature_test	optional_shared_type_return_renders_option_rc_signature	563	100	1552
test.claim.live_deploy.emit	witness_retract_attempt_state_root_refuses_when_nonempty	562	100	1552
test.claim.optional_carrier_signature_test	non_optional_shared_type_return_stays_bare_rc	562	100	1552
test.claim.optional_carrier_signature_test	optional_string_return_renders_option_signature	562	100	1552
test.claim.optional_carrier_signature_test	non_optional_string_return_stays_bare	561	100	1552
test.claim.optional_consumer_fail_closed_test	required_param_nonoptional_arg_stays_bare	560	100	1552
test.claim.optional_consumer_fail_closed_test	required_param_optional_arg_emits_located_fail_closed_unwrap	560	100	1552
test.claim.roadmap_forecast_witness	witness_live_graph_gap_count_matches_refusal_rows	560	100	1552
test.claim.roadmap_forecast_witness	witness_live_graph_refuses_with_located_counted_calibration_gaps	559	100	1552
v2.test.languages_consumer_census.corpus.data_decl_ratchet	corpus_data_decl_ratchet_holds	557	100	1552
test.claim.qualified_declaration_reference_emit_witness_test	same_module_qualified_reference_emits_call_not_fn_item	553	100	1552
test.claim.roadmap_static_site_witness	witness_static_site_route_authority_paths_locked	553	100	1552
test.claim.pipeline_transport_emit_rest_shell_witness	rest_emit_uses_header_auth	549	100	1552
test.claim.pipeline_transport_emit_rest_shell_witness	rest_emit_uses_bearer_auth	548	100	1552
test.claim.live_deploy.apply	witness_digest_readback_script_is_bounded_and_post_mutation	544	100	1552
test.claim.roadmap_receipt_continuity_acceptance	roadmap_receipt_continuity_acceptance_contract_holds	543	100	1552
v2.test.execution.rust_emit_host_call_equals_eval	rust_emit_host_call_equals_eval_holds	536	100	1552
v2.test.execution.rust_emit_host_call_equals_eval	rust_emit_host_call_wrong_oracle_refuses_holds	533	100	1552
v2.test.execution.emit_host_meet_join_equals_eval	emit_host_meet_wrong_fixture_refuses_holds	532	100	1552
v2.test.execution.emit_host_fold_closure_equals_eval	emit_host_fold_closure_wrong_fixture_refuses_holds	530	100	1552
test.claim.roadmap_receipt_continuity_acceptance	witness_dispatch_never_presents_empty_frontier_on_authority_refusal	526	100	1552
v2.test.execution.emit_host_complement_equals_eval	emit_host_complement_equals_eval_holds	521	100	1552
v2.test.execution.emit_host_fold_closure_equals_eval	emit_host_fold_closure_equals_eval_holds	520	100	1552
v2.test.execution.emit_host_meet_join_equals_eval	emit_host_join_equals_eval_holds	518	100	1552
v2.test.execution.emit_host_meet_join_equals_eval	emit_host_join_wrong_fixture_refuses_holds	515	100	1552
test.claim.roadmap_static_site_witness	witness_dispatch_artifact_matches_file_content	513	100	1552
v2.test.execution.emit_host_add_equals_eval	emit_host_add_wrong_oracle_refuses_holds	499	100	1552
v2.test.execution.emit_host_field_access_equals_eval	emit_host_field_access_wrong_fixture_refuses_holds	498	100	1552
test.claim.record_literal_call_arg_handoff_witness	record_literal_container_element_mismatch_at_call_arg_still_refuses	496	100	1552
test.claim.where_refinement_enforcement_witness	where_refinement_cast_literal_oci_other_digest_algorithm_refuses	493	100	1552
v2.test.execution.emit_host_module_equals_eval	emit_host_module_wrong_oracle_refuses_holds	489	100	1552
